"","User","Experiment","Year","Domain","GenomeCode","Well"
"MLA_25MESO_BACT.M38.D56.SS2","MLA","MESO","2025","BACT","M38","D56"
"MLA_25MESO_BACT.M39.D56.SS3","MLA","MESO","2025","BACT","M39","D56"
"MLA_25MESO_BACT.M3E.D0.SA3","MLA","MESO","2025","BACT","M3E","D0"
"MLA_25MESO_BACT.M40.D56.CO1","MLA","MESO","2025","BACT","M40","D56"
"MLA_25MESO_BACT.M41.D56.CO2","MLA","MESO","2025","BACT","M41","D56"
"MLA_25MESO_BACT.M42.D56.CO3","MLA","MESO","2025","BACT","M42","D56"
"MLA_25MESO_BACT.M43.D56.CL1","MLA","MESO","2025","BACT","M43","D56"
"MLA_25MESO_BACT.M44.D56.CL2","MLA","MESO","2025","BACT","M44","D56"
"MLA_25MESO_BACT.M45.D56.CL3","MLA","MESO","2025","BACT","M45","D56"
"MLA_25MESO_BACT.M47.D36.NC","MLA","MESO","2025","BACT","M47","D36"
"MLA_25MESO_BACT.M4E.D0.SH1","MLA","MESO","2025","BACT","M4E","D0"
"MLA_25MESO_BACT.M5E.D0.SH2","MLA","MESO","2025","BACT","M5E","D0"
"MLA_25MESO_BACT.M66.D56.NC","MLA","MESO","2025","BACT","M66","D56"
"MLA_25MESO_BACT.M6E.D0.SH3","MLA","MESO","2025","BACT","M6E","D0"
"MLA_25MESO_BACT.M7E.D0.SS1","MLA","MESO","2025","BACT","M7E","D0"
"MLA_25MESO_BACT.M8E.D0.SS2","MLA","MESO","2025","BACT","M8E","D0"
"MLA_25MESO_BACT.M9E.D0.SS3","MLA","MESO","2025","BACT","M9E","D0"
