"GW763",0,0,0,0,0,0,0,1,0
"GW764",0,0,0,0,0,0,0,0,1
"GW786",0,0,0,0,0,1,0,0,0
"GW787",0,1,0,0,0,0,0,0,0
"GW890",0,0,0,0,0,0,0,1,0
"GW931",0,0,0,0,0,0,0,1,1
"GW945",0,1,0,0,0,0,0,1,0
"GW946",0,0,1,0,0,0,0,0,0
"GW947",0,1,0,0,0,0,0,0,0
"GW949",0,0,0,0,0,0,0,1,0
"GW950",0,0,0,0,0,0,0,1,0
"GW951",1,0,0,1,0,0,0,0,0
"GW953",0,0,1,0,0,1,0,0,0
"GW969",1,0,0,0,0,0,0,0,0
"GW971",0,0,0,0,0,1,0,0,0
"GW972",1,0,1,1,1,1,0,1,0
"GW980",0,1,1,1,0,0,0,1,0
"GW982",0,1,1,1,0,0,0,1,0
"GW983",0,1,1,0,1,1,0,1,0
"GW984",0,1,1,1,0,0,0,1,0
"GW985",1,1,0,0,0,1,0,1,0
"GW986",1,1,1,1,1,1,0,1,0
"GW988",0,0,0,0,0,1,0,0,0
"GW989",1,0,0,1,0,1,1,1,0
"GW990",1,0,0,0,0,0,0,0,0
"GW991",0,1,1,1,0,1,1,1,0
"GW992",0,0,1,0,0,1,1,1,0
"GWBERRY",0,0,0,0,0,0,0,1,0
"GWFotchip",0,0,1,0,0,0,0,0,0
"GWJackfish",0,0,1,0,0,0,0,0,0
"GWMYRNAM",0,0,0,0,0,0,0,1,0
"GWRAVEN",0,0,0,0,0,0,0,1,0
"GWTOFIELD",0,0,0,0,0,0,0,1,0
"GWUNK1",0,0,0,0,0,0,0,1,0
"GWUNK2",0,0,0,0,0,0,0,1,0
