"","20GWC20082-GOWN113","22GWC22040-GOWN3026","22GWC22042-GOWN983","22GWC22050-GOWN117","21GWC21030-GOWN265","21GWC21030-GOWN265-ST","AOB-NOB-GOWN983","21GWO10014-01-GOWN246"
"OTU_456",0.77,0.91,0,1.13,0,0,0,0
"OTU_457",0.35,0,0,0,0,0,0,0
"OTU_458",0.13,0,0,0,0,0,0,0
"OTU_459",0.39,0,0,0,0.38,0,0,0
"OTU_460",0.61,0,0,0,0.13,0,0,0
"OTU_461",0.07,0,0,0,0,0,0,0
"OTU_462",0,0,0,0,0,0,0,0
"OTU_463",0.36,0,0.71,0,0,0,0,0
"OTU_464",0.64,0,0,1.7,0,0,0,0
"OTU_465",1.29,0,0,0,0,0,0,0
"OTU_466",0.2,0,0,0,0,0,0,0
"OTU_467",0.19,0,0,0,0,0,0,0
"OTU_468",0.57,0,0,0,0,0,0,0
"OTU_469",0.4,0,0,0.13,0,0,0,0
"OTU_470",0.95,0,0,0,0,0,0,0
"OTU_471",0.39,0,0,0,0,0,0,0
"OTU_472",0.13,0,0,0,0,0,0,0
"OTU_473",0.07,0.38,0,2.02,0.85,0,0,0.45
"OTU_474",0.58,0,0,0,0,0,0,0
"OTU_475",0.07,0,0,1.55,0,0,0,0
"OTU_476",4.85,0,0,0,5.71,0,0,5.05
"OTU_477",1.12,0,0,0.07,0,0,0,0
"OTU_478",0.39,1.53,0,0.59,0,0,0,0
"OTU_479",0.97,0,0,0,0,0,0,0
"OTU_480",0.96,0,0,0,0.07,0,0,0
"OTU_481",0.07,0,0,0,0,0,0,0
"OTU_482",0.45,6.15,0,1.31,0,0,0,0
"OTU_483",0,0,0,0,0,0,0,0
"OTU_484",0.3,0,0,0,1.61,0,0,1.45
"OTU_485",0.8,0,0,0,0,0,0,0
