Plate_Location,Sample,Day,Setup,DilutionCorr,Rock_Type,REP,Absorbance (640nm),Amount NH3 (mg NH3-N/L),Amount NH3_Dilution_Corr (mg NH3-N/L),Amount_NH3,,,,,,,,,
P2-F3,D65-CO-3,65,CO,1,Coal,3,0.708,1.342606791,1.342606791,1.342606791,,,,,,,,,
P2-F4,D65-SS-1,65,SS,1,Sandstone,1,0.156,0.133406353,0.133406353,0.133406353,,,,,,,,,
P2-F5,D65-SS-2,65,SS,1,Sandstone,2,0.135,0.087404162,0.087404162,0.087404162,,,,,,,,,
P2-F6,D65-SS-3,65,SS,1,Sandstone,3,0.153,0.126834611,0.126834611,0.126834611,,,,,,,,,
P2-F7,D73-CL-1,73,CL,1,No_Rocks,1,0.065,-0.065936473,-0.065936473,0,,,,,,,,,
P2-F8,D73-CL-2,73,CL,1,No_Rocks,2,0.056,-0.085651698,-0.085651698,0,,,,,,,,,
P2-F9,D73-CL-3,73,CL,1,No_Rocks,3,0.058,-0.081270537,-0.081270537,0,,,,,,,,,
P2-F10,D73-SH-1,73,SH,1,Shale,1,0.12,0.054545455,0.054545455,0.054545455,,,,,,,,,
P2-F11,D73-SH-2,73,SH,1,Shale,2,0.176,0.177217963,0.177217963,0.177217963,,,,,,,,,
P2-F12,D73-SH-3,73,SH,1,Shale,3,0.183,0.192552026,0.192552026,0.192552026,,,,,,,,,
P2-G1,D73-SA-1,73,SA,1,Sand,1,0.072,-0.05060241,-0.05060241,0,,,,,,,,,
P2-G2,D73-SA-2,73,SA,1,Sand,2,0.078,-0.037458927,-0.037458927,0,,,,,,,,,
P2-G3,D73-SA-3,73,SA,1,Sand,3,0.113,0.039211391,0.039211391,0.039211391,,,,,,,,,
P2-G4,D73-CO-1,73,CO,1,Coal,1,0.306,0.461993428,0.461993428,0.461993428,,,,,,,,,
P2-G5,D73-CO-2,73,CO,1,Coal,2,0.283,0.411610077,0.411610077,0.411610077,,,,,,,,,
P2-G6,D73-CO-3,73,CO,1,Coal,3,0.272,0.387513691,0.387513691,0.387513691,,,,,,,,,
P2-G7,D73-SS-1,73,SS,1,Sandstone,1,0.0121,-0.181818182,-0.181818182,0,,,,,,,,,
P2-G8,D73-SS-2,73,SS,1,Sandstone,2,0.117,0.047973713,0.047973713,0.047973713,,,,,,,,,
P2-G9,D73-SS-3,73,SS,1,Sandstone,3,0.114,0.041401972,0.041401972,0.041401972,,,,,,,,,
P2-G10,D78-CL-1,78,CL,1,No_Rocks,1,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P2-G11,D78-CL-2,78,CL,1,No_Rocks,2,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P2-G12,D78-CL-3,78,CL,1,No_Rocks,3,0.054,-0.090032859,-0.090032859,0,,,,,,,,,
P2-H1,D78-SH-1,78,SH,1,Shale,1,0.184,0.194742607,0.194742607,0.194742607,,,,,,,,,
P2-H2,D78-SH-2,78,SH,1,Shale,2,0.149,0.118072289,0.118072289,0.118072289,,,,,,,,,
P2-H3,D78-SH-3,78,SH,1,Shale,3,0.157,0.135596933,0.135596933,0.135596933,,,,,,,,,
P2-H4,D78-SA-1,78,SA,1,Sand,1,0.076,-0.041840088,-0.041840088,0,,,,,,,,,
P2-H5,D78-SA-2,78,SA,1,Sand,2,0.083,-0.026506024,-0.026506024,0,,,,,,,,,
P2-H6,D78-SA-3,78,SA,1,Sand,3,0.076,-0.041840088,-0.041840088,0,,,,,,,,,
P2-H7,D78-CO-1,78,CO,1,Coal,1,0.409,0.68762322,0.68762322,0.68762322,,,,,,,,,
P2-H8,D78-CO-2,78,CO,1,Coal,2,0.357,0.573713034,0.573713034,0.573713034,,,,,,,,,
P2-H9,D78-CO-3,78,CO,1,Coal,3,0.307,0.464184009,0.464184009,0.464184009,,,,,,,,,
P2-H10,D78-SS-1,78,SS,1,Sandstone,1,0.135,0.087404162,0.087404162,0.087404162,,,,,,,,,
P2-H11,D78-SS-2,78,SS,1,Sandstone,2,0.12,0.054545455,0.054545455,0.054545455,,,,,,,,,
P2-H12,D78-SS-3,78,SS,1,Sandstone,3,0.12,0.054545455,0.054545455,0.054545455,,,,,,,,,
P3-A7,D88-CL-1,88,CL,1,No_Rocks,1,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P3-A8,D88-CL-2,88,CL,1,No_Rocks,2,0.05,-0.098795181,-0.098795181,0,,,,,,,,,
P3-A9,D88-CL-3,88,CL,1,No_Rocks,3,0.051,-0.0966046,-0.0966046,0,,,,,,,,,
P3-A10,D88-SH-1,88,SH,1,Shale,1,0.099,0.008543264,0.008543264,0.008543264,,,,,,,,,
P3-A11,D88-SH-2,88,SH,1,Shale,2,0.102,0.015115005,0.015115005,0.015115005,,,,,,,,,
P3-A12,D88-SH-3,88,SH,1,Shale,3,0.107,0.026067908,0.026067908,0.026067908,,,,,,,,,
P3-B1,D88-SA-1,88,SA,1,Sand,1,0.061,-0.074698795,-0.074698795,0,,,,,,,,,
P3-B2,D88-SA-2,88,SA,1,Sand,2,0.06,-0.076889376,-0.076889376,0,,,,,,,,,
P3-B3,D88-SA-3,88,SA,1,Sand,3,0.047,-0.105366922,-0.105366922,0,,,,,,,,,
P3-B4,D88-CO-1,88,CO,1,Coal,1,0.319,0.490470975,0.490470975,0.490470975,,,,,,,,,
P3-B5,D88-CO-2,88,CO,1,Coal,2,0.362,0.584665936,0.584665936,0.584665936,,,,,,,,,
P3-B6,D88-CO-3,88,CO,1,Coal,3,0.296,0.440087623,0.440087623,0.440087623,,,,,,,,,
P3-B7,D88-SS-1,88,SS,1,Sandstone,1,0.097,0.004162103,0.004162103,0.004162103,,,,,,,,,
P3-B8,D88-SS-2,88,SS,1,Sandstone,2,0.094,-0.002409639,-0.002409639,0,,,,,,,,,
P3-B9,D88-SS-3,88,SS,1,Sandstone,3,0.098,0.006352683,0.006352683,0.006352683,,,,,,,,,
P3-C1,D37-SH-1-PTU,37,SH,1,Shale,1,0.151,0.12245345,0.12245345,0.12245345,,,,,,,,,
P4-E7,D15-CO1-D1,15,CO1,2,Coal,1,0.527,0.94611172,1.892223439,1.892223439,,,,,,,,,
