"","ASVs","Domain","Phylum","Class","Order","Family","Genus","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"7349","ASV10175"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__JAHEAO01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"7350","ASV10176"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__JAHEBU01",0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"7351","ASV10178"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__XN24"," f__XN24"," g__JAHEFR01",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7352","ASV10179"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__JAHFRG01"," g__JAHFRG01",0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"7353","ASV10180"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UBA1369"," f__LOWO2-01-FULL-3"," g__JAHIRL01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0
"7354","ASV10191"," d__Bacteria"," p__Actinomycetota"," c__UBA4738"," o__JAHWKV01"," f__JAHWKV01"," g__JAJCYE01",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7355","ASV10194"," d__Archaea"," p__Thermoproteota"," c__Nitrososphaeria"," o__Nitrososphaerales"," f__Nitrosopumilaceae"," g__JAJIZT01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,2,1,0,0
"7356","ASV10196"," d__Bacteria"," p__Desulfobacterota_B"," c__Binatia"," o__Binatales"," f__Binataceae"," g__JAJPIL01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"7357","ASV10197"," d__Bacteria"," p__Myxococcota"," c__UBA796"," o__JAJRTE01"," f__JAJRTE01"," g__JAJRTE01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"7358","ASV10198"," d__Bacteria"," p__Hydrogenedentota"," c__Hydrogenedentia"," o__Hydrogenedentiales"," f__SCBR16-9"," g__JAJRTN01",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7359","ASV10202"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Ferrovaceae"," g__JAJZHV01",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7360","ASV10203"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Micrarchaeales"," f__CABMGC01"," g__JAJZOD01",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,25,0,0,0
"7361","ASV10205"," d__Bacteria"," p__Desulfobacterota_E"," c__Deferrimicrobia"," o__Deferrimicrobiales"," f__Deferrimicrobiaceae"," g__JAKALO01",0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0
"7362","ASV10211"," d__Bacteria"," p__Myxococcota"," c__B64-G9"," o__B64-G9"," f__B64-G9"," g__JAKLGA01",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"7363","ASV10214"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Limisphaerales"," f__J093"," g__JAKQDD01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
"7364","ASV10215"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Pirellulales"," f__PALSA-1355"," g__JALHMI01",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"7365","ASV10216"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__JALSRD01"," g__JALSRD01",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"7366","ASV10225"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Hyphomicrobiaceae"," g__JANXVY01",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7367","ASV10228"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Bog-793"," g__JAODBN01",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7368","ASV10231"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__RBG-16-60-22"," g__JAQTQH01",0,0,0,0,0,0,0,0,0,1,0,2,0,46,0,3,0,0,6,0,5,41,5,0,3
"7369","ASV10232"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__JAQTVP01"," g__JAQTVP01",0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,1,0,0,0,0,0,20,0,0,1
"7370","ASV10235"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__Desulfosarcinaceae"," g__JASJCL01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"7371","ASV10237"," d__Bacteria"," p__Planctomycetota"," c__B15-G4"," o__B15-G4"," f__B15-G4"," g__JAUIEF01",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7372","ASV10238"," d__Bacteria"," p__Bdellovibrionota"," c__UBA2361"," o__UBA2361"," f__RFPC01"," g__JAUIIO01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"7373","ASV10245"," d__Bacteria"," p__Actinomycetota"," c__JAUVYG01"," o__JAUVYG01"," f__JAUVYG01"," g__JAUVYG01",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"7374","ASV10246"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__BS750m-G39"," g__JAUWIX01",0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,4,0,0,3,0,2,1,2,11,0
"7375","ASV10248"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__JAUWPF01"," g__JAUWPF01",0,0,0,0,0,0,0,0,0,1,0,1,0,13,0,0,0,0,3,0,2,10,0,3,1
"7376","ASV10253"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__LGRD01",0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"7377","ASV10254"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__SZUA-229"," f__SZUA-229"," g__LH-M37",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"7378","ASV10257"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Beutenbergiaceae"," g__Litorihabitans",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7379","ASV10259"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Lysobacter_B",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0
"7380","ASV10260"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Crocinitomicaceae"," g__M2408",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"7381","ASV10263"," d__Bacteria"," p__Poribacteria"," c__WGA-4E"," o__WGA-4E"," f__WGA-3G"," g__MSPOR6",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"7382","ASV10267"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Aquaspirillaceae"," g__Microvirgula",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7383","ASV10268"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__4572-78"," f__NAK82"," g__NAK82",0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,1,1,0,0
"7384","ASV10269"," d__Bacteria"," p__Bacteroidota"," c__Kapaibacteriia"," o__Kapaibacteriales"," f__UBA2268"," g__Naka2016",0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7385","ASV10270"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Mycobacteriales"," f__Nakamurellaceae"," g__Nakamurella",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,2,0
"7386","ASV10275"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Oligella",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1
"7387","ASV10279"," d__Bacteria"," p__Cloacimonadota"," c__Cloacimonadia"," o__Cloacimonadales"," f__Cloacimonadaceae"," g__PHBP01",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"7388","ASV10282"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__CG1-02-33-12"," g__PWVO01",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0
