"","Domain","Phylum","Class","Order","Family","Genus"
"ASV3283"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__NS11-12g"," f__UBA9320"," g__JAAEYY01"
"ASV3284"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Acidoferrales"," f__UBA7541"," g__JAAFGT01"
"ASV3285"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__UBA10216"," g__JAAGZO01"
"ASV3286"," d__Bacteria"," p__Bdellovibrionota"," c__UBA1018"," o__CAIPTA01"," f__JAALKR01"," g__JAALKR01"
"ASV3287"," d__Bacteria"," p__Pseudomonadota"," c__Magnetococcia"," o__Magnetococcales"," f__Magnetaquicoccaceae"," g__JAANAU01"
"ASV3288"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__JAGVZT01"," g__JAANXH01"
"ASV3289"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__JAAOXT01"," f__JAAOXT01"," g__JAAOXT01"
"ASV3290"," d__Archaea"," p__SpSt-1190"," c__SpSt-1190"," o__SpSt-1190"," f__SpSt-1190"," g__JAAOXV01"
"ASV3291"," d__Archaea"," p__SpSt-1190"," c__SpSt-1190"," o__SpSt-1190"," f__SpSt-1190"," g__JAAOXW01"
"ASV3292"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__GW2011-AR9"," g__JAAOXZ01"
"ASV3293"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__JAAOYA01"," g__JAAOYA01"
"ASV3294"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__BM511"," g__JAAOYB01"
"ASV3295"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__WJKL01"," g__JAAOYC01"
"ASV3296"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__BM511"," g__JAAOYE01"
"ASV3297"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__WJIZ01"," g__JAAOYF01"
"ASV3298"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Pacearchaeales"," f__GW2011-AR1"," g__JAAOYK01"
"ASV3299"," d__Archaea"," p__Thermoproteota"," c__Nitrososphaeria"," o__Nitrososphaerales"," f__JAAOZN01"," g__JAAOZN01"
"ASV3300"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Methylacidiphilales"," f__JAAUTS01"," g__JAAUTS01"
"ASV3301"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__UBA3495"," f__JAAXIE01"," g__JAAXIE01"
"ASV3302"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__BM507"," f__GWE2-39-37"," g__JAAXUA01"
"ASV3303"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Zapsychrales"," f__Fredricksoniimonadaceae"," g__JAAXVU01"
"ASV3304"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__GW2011-AR15"," g__JAAXVZ01"
"ASV3305"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Thermoleophilaceae"," g__JAAYBF01"
"ASV3306"," d__Bacteria"," p__Acidobacteriota"," c__UBA6911"," o__UBA6911"," f__UBA6911"," g__JAAYCX01"
"ASV3307"," d__Bacteria"," p__Desulfobacterota"," c__Desulfuromonadia"," o__Desulfuromonadales"," f__JAAYDE01"," g__JAAYDE01"
"ASV3308"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Caldicoprobacterales"," f__UBA3941"," g__JAAYGY01"
"ASV3309"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Tepidimicrobiaceae"," g__JAAYHX01"
"ASV3310"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Nitrococcales"," f__AK92"," g__JAAYIK01"
"ASV3311"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Peptoniphilaceae"," g__JAAYQA01"
"ASV3312"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Oscillospirales"," f__CAG-272"," g__JAAYQM01"
"ASV3313"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Tissierellaceae"," g__JAAYTL01"
"ASV3314"," d__Bacteria"," p__Armatimonadota"," c__Chthonomonadetes"," o__Chthonomonadales"," f__CAJBBX01"," g__JAAYVH01"
"ASV3315"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Zapsychrales"," f__Fredricksoniimonadaceae"," g__JAAYZZ01"
"ASV3316"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__RFP12"," f__UBA3636"," g__JAAZAI01"
"ASV3317"," d__Bacteria"," p__UBA10199"," c__UBA10199"," o__2-02-FULL-44-16"," f__JAAZCA01"," g__JAAZCA01"
"ASV3318"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__RFP12"," f__UBA3636"," g__JAAZFF01"
"ASV3319"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__UBA922"," g__JAAZJX01"
"ASV3320"," d__Archaea"," p__Iainarchaeota"," c__Iainarchaeia"," o__Iainarchaeales"," f__JAAZKV01"," g__JAAZKV01"
"ASV3321"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1406"," f__GWC2-37-13"," g__JAAZNM01"
"ASV3322"," d__Bacteria"," p__Patescibacteria"," c__WWE3"," o__UBA101185"," f__UBA10185"," g__JAAZNV01"
"ASV3323"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__JABAQJ01"
"ASV3324"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__PJMF01"," g__JABBGTR01"
"ASV3325"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__TANB77"," f__CAG-508"," g__JABCPO02"
"ASV3326"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__JABCYS01"," g__JABCYS01"
"ASV3327"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Diplorickettsiales"," f__Diplorickettsiaceae"," g__JABDBA01"
"ASV3328"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__DSM-16500"," f__DSM-16500"," g__JABDBV01"
"ASV3329"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__JABWAM01"," f__JABWAM01"," g__JABDCI01"
"ASV3330"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__DSM-16500"," f__DSM-16500"," g__JABDCN01"
"ASV3331"," d__Bacteria"," p__Chlamydiota"," c__Chlamydiia"," o__Chlamydiales"," f__Rhabdochlamydiaceae"," g__JABDCS01"
"ASV3332"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__JABDEC01"," g__JABDEC01"
"ASV3333"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__UBA9655"," f__UBA9655"," g__JABDEE01"
"ASV3334"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__CAILMK01"," f__CAILMK01"," g__JABDEJ01"
"ASV3335"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__DSM-16500"," f__DSM-16500"," g__JABDEM01"
"ASV3336"," d__Bacteria"," p__Eremiobacterota"," c__JABDET01"," o__JABDET01"," f__JABDET01"," g__JABDET01"
"ASV3337"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__JABDEC01"," g__JABDFA01"
"ASV3338"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__JABDFU01"," f__JABDFU01"," g__JABDFU01"
"ASV3339"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Pirellulales"," f__Lacipirellulaceae"," g__JABDGM01"
"ASV3340"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__JABDGN01"," f__JABDGN01"," g__JABDGN01"
"ASV3341"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Zapsychrales"," f__Fredricksoniimonadaceae"," g__JABDGZ01"
"ASV3342"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__UBA5794"," f__UBA5794"," g__JABDIW01"
"ASV3343"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__AKYH767-A"," f__OLB10"," g__JABDLV01"
"ASV3344"," d__Archaea"," p__Thermoproteota"," c__Bathyarchaeia"," o__Bathyarchaeales"," f__UBA233"," g__JABFQN01"
"ASV3345"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Hyphomicrobiaceae"," g__JABFRJ01"
"ASV3346"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Methylophilaceae"," g__JABFRO01"
"ASV3347"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA2999"," g__JABFRY01"
"ASV3348"," d__Bacteria"," p__Planctomycetota"," c__UBA1135"," o__UBA1135"," f__GCA-002686595"," g__JABFRZ01"
"ASV3349"," d__Bacteria"," p__Desulfobacterota_B"," c__Binatia"," o__Bin18"," f__Bin18"," g__JABFSC01"
"ASV3350"," d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__Haliangiales"," f__Haliangiaceae"," g__JABFXX01"
"ASV3351"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__UBA8416"," f__UBA8416"," g__JABGOW01"
"ASV3352"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__Peribacterales"," f__Peribacteraceae"," g__JABGQH01"
"ASV3353"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__JABGXB01"," g__JABGXB01"
"ASV3354"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__UBA1558"," f__UBA10009"," g__JABHGM01"
"ASV3355"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__JABHGC01"," f__JABHGC01"," g__JABHHM01"
"ASV3356"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__GW2011-AR15"," g__JABHHN01"
"ASV3357"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__UBA1558"," f__GWA2-36-10"," g__JABHSK01"
"ASV3358"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UBA1369"," f__2-02-FULL-48-14"," g__JABHVW01"
"ASV3359"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__GW2011-AR9"," g__JABHWJ01"
"ASV3360"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Pacearchaeales"," f__GW2011-AR1"," g__JABHWZ01"
"ASV3361"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__GW2011-AR9"," g__JABHXC01"
"ASV3362"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__DSVV01"," g__JABHXF01"
"ASV3363"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__GW2011-AR17"," g__JABHYY01"
"ASV3364"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__GCA-2401785"," g__JABIAA01"
"ASV3365"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__UBA1558"," f__GWA2-36-10"," g__JABIAL01"
"ASV3366"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__PNOQ01"," g__JABIBT01"
"ASV3367"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__PNOQ01"," g__JABICB01"
"ASV3368"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__Peribacterales"," f__JABICL01"," g__JABICL01"
"ASV3369"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__UBA10117"," f__JABICX01"," g__JABICX01"
"ASV3370"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__JAACEG01"," f__JAACEG01"," g__JABIDK01"
"ASV3371"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Pacearchaeales"," f__GW2011-AR1"," g__JABIDS01"
"ASV3372"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__UBA922"," g__JABIEQ01"
"ASV3373"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__UBA922"," g__JABIFP01"
"ASV3374"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UBA1369"," f__LOWO2-01-FULL-3"," g__JABIJZ01"
"ASV3375"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__UBA489"," g__JABIKK01"
"ASV3376"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UBA1369"," f__LOWO2-01-FULL-3"," g__JABILX01"
"ASV3377"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__GWA2-43-13"," f__GWA2-43-13"," g__JABIPD01"
"ASV3378"," d__Bacteria"," p__JAAXHH01"," c__JAAXHH01"," o__JAAXHH01"," f__JABIQT01"," g__JABIQT01"
"ASV3379"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__UBA11576"," g__JABJCP01"
"ASV3380"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UBA1369"," f__UBA12473"," g__JABJMC01"
"ASV3381"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__UBA1558"," f__GWA2-36-10"," g__JABJNO01"
"ASV3382"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UBA1369"," f__LOWO2-01-FULL-3"," g__JABJOK01"
"ASV3383"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__PNOQ01"," g__JABJPM01"
"ASV3384"," d__Archaea"," p__Halobacteriota"," c__Methanosarcinia"," o__Methanotrichales"," f__Methanotrichaceae"," g__JABLXE01"
"ASV3385"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__JABMNX01"," g__JABMNX01"
"ASV3386"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__SG8-24"," f__GWF2-40-263"," g__JABMNZ01"
"ASV3387"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__Zambryskibacteraceae"," g__JABMOB01"
"ASV3388"," d__Bacteria"," p__Sumerlaeota"," c__Sumerlaeia"," o__UBA8349"," f__UBA8349"," g__JABMPG01"
"ASV3389"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__SG8-24"," f__UBA11717"," g__JABMPK01"
"ASV3390"," d__Bacteria"," p__Marinisomatota"," c__Marinisomatia"," o__Marinisomatales"," f__TCS56"," g__JABMPO01"
"ASV3391"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__JABMPP01"," g__JABMPP01"
"ASV3392"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Portnoybacterales"," f__UBA2143"," g__JABMPX01"
"ASV3393"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__JABMQH01"," f__JABMQH01"," g__JABMQH01"
"ASV3394"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__JABMRN01"," f__RBG-13-46-9"," g__JABMQJ01"
"ASV3395"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Velamenicoccales"," f__JABMQK01"," g__JABMQK01"
"ASV3396"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__JABMRG01"," f__JABMRG01"," g__JABMQS01"
"ASV3397"," d__Bacteria"," p__Marinisomatota"," c__Marinisomatia"," o__Marinisomatales"," f__TCS56"," g__JABMQW01"
"ASV3398"," d__Bacteria"," p__JABMQX01"," c__JABMQX01"," o__JABMQX01"," f__JABMQX01"," g__JABMQX01"
"ASV3399"," d__Bacteria"," p__Margulisbacteria"," c__WOR-1"," o__XYC2-FULL-46-14"," f__XYC2-FULL-46-14"," g__JABMQY01"
"ASV3400"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gorgyraeales"," f__Gorgyraeaceae"," g__JABMRA01"
"ASV3401"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__JABMRG01"," f__JABMRG01"," g__JABMRG01"
"ASV3402"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__JABMRJ01"," f__JABMRJ01"," g__JABMRJ01"
"ASV3403"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__JABMSB01"," f__JABMSB01"," g__JABMSB01"
"ASV3404"," d__Bacteria"," p__Margulisbacteria"," c__WOR-1"," o__O2-12-FULL-45-9"," f__O2-12-FULL-45-9"," g__JABMSE01"
"ASV3405"," d__Bacteria"," p__Myxococcota_A"," c__UBA9160"," o__SZUA-336"," f__SZUA-336"," g__JABSQV01"
"ASV3406"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__Vermiphilaceae"," g__JABSSP01"
"ASV3407"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Pirellulales"," f__Thermoguttaceae"," g__JABWBD01"
"ASV3408"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__JABWBJ01"
"ASV3409"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Buchananbacterales"," f__UBA6539"," g__JABWCG01"
"ASV3410"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Norongarragalinales"," f__UBA10210"," g__JABWCK01"
"ASV3411"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Micropepsales"," f__Micropepsaceae"," g__JACADY01"
"ASV3412"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__Chloroflexales"," f__Roseiflexaceae"," g__JACAEQ01"
"ASV3413"," d__Bacteria"," p__Bacteroidota"," c__Ignavibacteria"," o__Ignavibacteriales"," f__Ignavibacteriaceae"," g__JACAFB01"
"ASV3414"," d__Bacteria"," p__Nitrospinota"," c__Nitrospinia"," o__Nitrospinales"," f__JACRGP01"," g__JACAVV01"
"ASV3415"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Anstonellales"," f__Bilamarchaeaceae"," g__JACCLJ01"
"ASV3416"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__2-12-FULL-66-21"," g__JACCRT01"
"ASV3417"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__JACCTQ01"
"ASV3418"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Thermoleophilaceae"," g__JACCVG01"
"ASV3419"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__2-12-FULL-66-21"," g__JACCXG01"
"ASV3420"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Thermoleophilaceae"," g__JACCXP01"
"ASV3421"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__JACCYG01"
"ASV3422"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Thermoleophilaceae"," g__JACCYP01"
"ASV3423"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__JACCZA01"
"ASV3424"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Thermoleophilaceae"," g__JACCZR01"
"ASV3425"," d__Bacteria"," p__Chloroflexota"," c__Limnocylindria"," o__P2-11E"," f__P2-11E"," g__JACDAF01"
"ASV3426"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__JACDAN01"
"ASV3427"," d__Bacteria"," p__Chloroflexota"," c__Limnocylindria"," o__Limnocylindrales"," f__CSP1-4"," g__JACDAV01"
"ASV3428"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__70-9"," g__JACDBR01"
"ASV3429"," d__Bacteria"," p__Chloroflexota"," c__Limnocylindria"," o__QHBO01"," f__QHBO01"," g__JACDBZ01"
"ASV3430"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__2-12-FULL-66-21"," g__JACDCA01"
"ASV3431"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__JACDCY01"
"ASV3432"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__GWC2-71-9"," g__JACDDX01"
"ASV3433"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__Levybacterales"," f__UBA12049"," g__JACDET01"
"ASV3434"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__UBA10212"," g__JACDFN01"
"ASV3435"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__JACDFO01"," g__JACDFO01"
"ASV3436"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__UBA9655"," f__UBA9655"," g__JACDGE01"
"ASV3437"," d__Archaea"," p__Halobacteriota"," c__Syntropharchaeia"," o__Alkanophagales"," f__Methanospirareceae"," g__JACGMN01"
"ASV3438"," d__Archaea"," p__Thermoplasmatota"," c__Thermoplasmata"," o__Methanomassiliicoccales"," f__JACIVX01"," g__JACIVX01"
"ASV3439"," d__Archaea"," p__Thermoproteota"," c__Nitrososphaeria"," o__JACIWG01"," f__JACIWG01"," g__JACIWG01"
"ASV3440"," d__Bacteria"," p__Bipolaricaulota"," c__Bipolaricaulia"," o__Bipolaricaulales"," f__Bipolaricaulaceae"," g__JACIWI01"
"ASV3441"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__UBA2200"," f__UBA2200"," g__JACIWX01"
"ASV3442"," d__Bacteria"," p__JACIXR01"," c__JACIXR01"," o__JACIXR01"," f__JACIXR01"," g__JACIXR01"
"ASV3443"," d__Bacteria"," p__Bacillota_B"," c__Moorellia"," o__Moorellales"," f__JACIYF01"," g__JACIYF01"
"ASV3444"," d__Bacteria"," p__Bacillota_E"," c__JACIYH01"," o__JACIYH01"," f__JACIYH01"," g__JACIYH01"
"ASV3445"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__JACJVV01"," g__JACJVV01"
"ASV3446"," d__Bacteria"," p__Bdellovibrionota"," c__UBA2361"," o__UBA2361"," f__J135"," g__JACKAH01"
"ASV3447"," d__Bacteria"," p__Bdellovibrionota"," c__Bdellovibrionia"," o__Bdellovibrionales"," f__UBA1609"," g__JACKAN01"
"ASV3448"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__RVW-14"," g__JACKCO01"
"ASV3449"," d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__Polyangiales"," f__Polyangiaceae"," g__JACKEA01"
"ASV3450"," d__Bacteria"," p__Myxococcota"," c__WYAZ01"," o__WYAZ01"," f__WYAZ01"," g__JACKEN01"
"ASV3451"," d__Bacteria"," p__Myxococcota"," c__UBA796"," o__UBA796"," f__GCA-2862545"," g__JACKEO01"
"ASV3452"," d__Bacteria"," p__Myxococcota"," c__UBA796"," o__UBA796"," f__GCA-2862545"," g__JACKEQ01"
"ASV3453"," d__Bacteria"," p__Hinthialibacterota"," c__Hinthialibacteria"," o__OLB16"," f__OLB16"," g__JACKFH01"
"ASV3454"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Zapsychrales"," f__Zapsychraceae"," g__JACKFK01"
"ASV3455"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__PJMF01"," g__JACKFY01"
"ASV3456"," d__Bacteria"," p__Planctomycetota"," c__UBA1135"," o__UBA2386"," f__UBA2386"," g__JACKIB01"
"ASV3457"," d__Bacteria"," p__UBA10199"," c__UBA10199"," o__UBA10199"," f__JADGCS01"," g__JACKPK01"
"ASV3458"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Bryobacterales"," f__Bryobacteraceae"," g__JACMLA01"
"ASV3459"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__JACMLX01"
"ASV3460"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__JACMME01"
"ASV3461"," d__Bacteria"," p__Cyanobacteriota"," c__Sericytochromatia"," o__JACMPN01"," f__JACMPN01"," g__JACMPN01"
"ASV3462"," d__Bacteria"," p__Bdellovibrionota"," c__UBA1018"," o__UBA1018"," f__UBA1018"," g__JACMQW01"
"ASV3463"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__JACNGX01"," g__JACNGX01"
"ASV3464"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__JACORV01"," g__JACORV01"
"ASV3465"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__Peribacterales"," f__Peribacteraceae"," g__JACOTD01"
"ASV3466"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__CADCSY01"," g__JACOTK01"
"ASV3467"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA6257"," f__Colwellbacteraceae"," g__JACOTQ01"
"ASV3468"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1406"," f__GWC2-37-13"," g__JACOTV01"
"ASV3469"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__JACOTW01"," g__JACOTW01"
"ASV3470"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Bryobacterales"," f__Bryobacteraceae"," g__JACOTZ01"
"ASV3471"," d__Bacteria"," p__JACPWU01"," c__JACPWU01"," o__JACPWU01"," f__JACPWU01"," g__JACOUC01"
"ASV3472"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__SM23-28-2"," f__RBG-16-64-32"," g__JACOUE01"
"ASV3473"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Gemmatales"," f__Gemmataceae"," g__JACOUH01"
"ASV3474"," d__Bacteria"," p__Methylomirabilota"," c__Methylomirabilia"," o__Rokubacteriales"," f__JACOUJ01"," g__JACOUJ01"
"ASV3475"," d__Bacteria"," p__UBA10199"," c__UBA10199"," o__2-02-FULL-50-16"," f__JACOUP01"," g__JACOUP01"
"ASV3476"," d__Bacteria"," p__Myxococcota"," c__UBA727"," o__UBA727"," f__VGSZ01"," g__JACOUT01"
