"","Domain","Phylum","Class","Order","Family","Genus","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV13952"," d__Bacteria"," p__Bdellovibrionota"," c__Bacteriovoracia"," o__Bacteriovoracales"," f__Bacteriovoracaceae"," g__JAOHMI01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13953"," d__Bacteria"," p__Krumholzibacteriota"," c__Krumholzibacteria"," o__WVZY01"," f__JAKEHA01"," g__JAOTVO01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"ASV13954"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__GWC2-71-9"," g__JAOTVV01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13955"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__GWC2-71-9"," g__JAOTWJ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
"ASV13956"," d__Bacteria"," p__Desulfobacterota"," c__JADFVX01"," o__JADFVX01"," f__JADFVX01"," g__JAOUBX01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV13957"," d__Bacteria"," p__Actinomycetota"," c__UBA4738"," o__UBA4738"," f__HRBIN12"," g__JAOUEA01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV13958"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__UBA1006"," g__JAOULM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13959"," d__Bacteria"," p__Desulfobacterota"," c__S145-22"," o__S145-22"," f__S145-22"," g__JAOZMY01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13960"," d__Bacteria"," p__Planctomycetota"," c__JAJSAM01"," o__JAJSAM01"," f__JAJSAM01"," g__JAOZQC01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13961"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__UBA8416"," f__JAPKCZ01"," g__JAPKCZ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"ASV13962"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__UBA1845"," f__PWPN01"," g__JAPKGY01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ASV13963"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__JAGONC01"," g__JAPLDP01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13964"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Phycisphaerales"," f__Phycisphaeraceae"," g__JAPLMQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV13965"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__JAPLPE01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"ASV13966"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__JAKAKT01"," f__JAKAKT01"," g__JAPLWU01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ASV13967"," d__Bacteria"," p__Bdellovibrionota"," c__Bacteriovoracia"," o__Bacteriovoracales"," f__Bacteriovoracaceae"," g__JAPONP01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13968"," d__Bacteria"," p__Latescibacterota"," c__UBA2968"," o__UBA8231"," f__UBA8231"," g__JAPOZF01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13969"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__UBA5794"," f__Spongiisociaceae"," g__JAPPFW01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13970"," d__Bacteria"," p__Poribacteria"," c__WGA-4E"," o__GCA-2687025"," f__GCA-2687025"," g__JAPPNK01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ASV13971"," d__Bacteria"," p__Chloroflexota"," c__Limnocylindria"," o__QHBO01"," f__QHBO01"," g__JAPSGM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0
"ASV13972"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__IMCC26256"," f__JACDBD01"," g__JAPSGP01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV13973"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__UBA5946"," g__JAPUDS01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"ASV13974"," d__Bacteria"," p__Acidobacteriota"," c__Polarisedimenticolia"," o__Gp22-AA2"," f__Gp22-AA2"," g__JAPUIN01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ASV13975"," d__Bacteria"," p__KSB1"," c__UBA2214"," o__JACIZP01"," f__JADDFT01"," g__JAPWUV01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ASV13976"," d__Bacteria"," p__Acidobacteriota"," c__UBA6911"," o__RPQK01"," f__RPQK01"," g__JAPYTY01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV13977"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__Zambryskibacteraceae"," g__JAQBQW01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,5,1,0,0
"ASV13978"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__UBA4665"," g__JAQBRT01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"ASV13979"," d__Bacteria"," p__Planctomycetota"," c__PUPC01"," o__JACPCR01"," f__JACPCR01"," g__JAQBXN01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ASV13980"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__CAJWTS01"," f__CAJWTS01"," g__JAQBYD01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13981"," d__Bacteria"," p__Latescibacterota"," c__UBA2968"," o__UBA2968"," f__GCA-2709665"," g__JAQCGA01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"ASV13982"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Isosphaerales"," f__Isosphaeraceae"," g__JAQGHR01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13983"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__UBA8416"," f__JAQICX01"," g__JAQICX01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13984"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," g__JAQSWM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13985"," d__Bacteria"," p__Patescibacteria"," c__JAEDAM01"," o__BD1-5"," f__UBA2023"," g__JAQUEK01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13986"," d__Bacteria"," p__Bacillota_C"," c__Negativicutes"," o__Acidaminococcales"," f__Acidaminococcaceae"," g__JAQUUF01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13987"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA6257"," f__XYB1-36-10"," g__JAQVXM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,3,0,0
"ASV13988"," d__Bacteria"," p__Myxococcota"," c__UBA796"," o__UBA796"," f__GCA-2862545"," g__JARACJ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13989"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__JARBTU01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13990"," d__Bacteria"," p__Bacillota_E"," c__Symbiobacteriia"," o__Symbiobacteriales"," f__Symbiobacteriaceae"," g__JARBUG01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0
"ASV13991"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Palauibacterales"," f__Palauibacteraceae"," g__JARFPW01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13992"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Tissierellaceae"," g__JARICQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"ASV13993"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__UBA4665"," g__JARIHC01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0
"ASV13994"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__UBA4664"," f__UBA4664"," g__JARIHM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV13995"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Terriglobales"," f__Acidobacteriaceae"," g__JARLFX01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ASV13996"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Competibacterales"," f__Competibacteraceae"," g__JARSSO01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13997"," d__Bacteria"," p__Bacteroidota"," c__Ignavibacteria"," o__Ignavibacteriales"," f__Melioribacteraceae"," g__JARYLX01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV13998"," d__Bacteria"," p__Bacteroidota"," c__SZUA-365"," o__SZUA-365"," f__SZUA-365"," g__JARYLZ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV13999"," d__Bacteria"," p__Deinococcota"," c__Deinococci"," o__Deinococcales"," f__Trueperaceae"," g__JASBRS01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"ASV14000"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__JASJCA01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14001"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__UBA4664"," f__SCTI01"," g__JASLFZ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ASV14002"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodospirillales_A"," f__JASLLZ01"," g__JASLLZ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14003"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__SAR202"," f__JASMAO01"," g__JASMAO01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14004"," d__Bacteria"," p__Planctomycetota"," c__JACQVV01"," o__JACQVV01"," f__JASMLP01"," g__JASMLP01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14005"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Pirellulales"," f__Pirellulaceae"," g__JASMLW01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14006"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__UBA1845"," f__PWPN01"," g__JAUCQB01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"ASV14007"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rickettsiales"," f__JABSSG01"," g__JAUHXQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14008"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__JAUHZC01"," f__JAUHZC01"," g__JAUHZC01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14009"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__SZUA-47"," g__JAUIBF01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,14,0,0
"ASV14010"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__SZUA-47"," g__JAUIBQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
"ASV14011"," d__Bacteria"," p__Chlamydiota"," c__Chlamydiia"," o__Chlamydiales"," f__GCA-2402025"," g__JAUICV01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
"ASV14012"," d__Bacteria"," p__Planctomycetota"," c__B15-G4"," o__B15-G4"," f__JADJEK01"," g__JAUIEL01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV14013"," d__Bacteria"," p__Chlamydiota"," c__Chlamydiia"," o__Chlamydiales"," f__JAUIEV01"," g__JAUIEV01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,1,1,0,0
"ASV14014"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__RVW-14"," g__JAUIHA01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"ASV14015"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__JAUIHN01"," g__JAUIHN01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"ASV14016"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__CAIVKH01"," f__CAIVKH01"," g__JAUIHQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV14017"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rickettsiales"," f__JAUIIY01"," g__JAUIIY01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"ASV14018"," d__Bacteria"," p__Chlamydiota"," c__Chlamydiia"," o__Chlamydiales"," f__JAUIKQ01"," g__JAUIKQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV14019"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__JAUJMY01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0
"ASV14020"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Pirellulales"," f__Thermoguttaceae"," g__JAUNBG01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ASV14021"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__PJMF01"," g__JAUNST01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"ASV14022"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Peptoniphilaceae"," g__JAUNVJ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14023"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__JAUPVS01"," g__JAUPVS01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14024"," d__Bacteria"," p__Patescibacteria"," c__WWE3"," o__2-01-FULL-39-13"," f__2-01-FULL-39-13"," g__JAUPVU01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0
"ASV14025"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Bryobacterales"," f__Bryobacteraceae"," g__JAUQPO01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14026"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__Vermiphilaceae"," g__JAUUXD01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14027"," d__Bacteria"," p__Fibrobacterota"," c__Chitinivibrionia"," o__Chitinivibrionales"," f__JANQEN01"," g__JAUVGS01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14028"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__CAIXNZ01"," f__CAIXNZ01"," g__JAUVKC01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV14029"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Gaiellales"," f__Gaiellaceae"," g__JAUVPB01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
"ASV14030"," d__Bacteria"," p__Eisenbacteria"," c__RBG-16-71-46"," o__CAIMUX01"," f__WJJG01"," g__JAUVTV01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
"ASV14031"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__UBA7937"," f__B3-Chlor"," g__JAUVXJ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
"ASV14032"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__UBA1845"," f__Fen-1342"," g__JAUWXH01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14033"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Chromatiales"," f__Sedimenticolaceae"," g__JAUXBK01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14034"," d__Bacteria"," p__JAAXVQ01"," c__JAAXVQ01"," o__JAAXVQ01"," f__JAAXVQ01"," g__JAUXBQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14035"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__SZUA-534"," g__JAUXEM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14036"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UM-FILTER-43-11"," f__UM-FILTER-43-11"," g__JAUXFE01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ASV14037"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__UBA5794"," f__SHLN01"," g__JAUXLW01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14038"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__UBA5794"," f__UBA11373"," g__JAUYIV01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,7,1,0,0
"ASV14039"," d__Bacteria"," p__Patescibacteria"," c__JAUYIX01"," o__JAUYIX01"," f__JAUYIX01"," g__JAUYIX01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,3,0,0,0
"ASV14040"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__JAUYIZ01"," g__JAUYIZ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0
"ASV14041"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__NORP267"," g__JAUYJB01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0
"ASV14042"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__S36-B12"," f__GCA-2699445"," g__JAUYJT01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920,1,0,0,0,0,0,0,0,0
"ASV14043"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__S36-B12"," f__UBA10799"," g__JAUYKX01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0
"ASV14044"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__JAHIZJ01"," f__JAHIZJ01"," g__JAUYLJ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,1,0,0,0
"ASV14045"," d__Bacteria"," p__JAUYMQ01"," c__JAUYMQ01"," o__JAUYMQ01"," f__JAUYMQ01"," g__JAUYMQ01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0
"ASV14046"," d__Bacteria"," p__Bacteroidota"," c__Ignavibacteria"," o__Ignavibacteriales"," f__SURF-24"," g__JAUZPB01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV14047"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__JAUZRS01"," f__JAUZRS01"," g__JAUZRS01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14048"," d__Bacteria"," p__Myxococcota_A"," c__UBA9160"," o__UBA9160"," f__UBA4427"," g__JAZXM01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV14049"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Peptoniphilaceae"," g__KA00134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14050"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Terriglobales"," f__Acidobacteriaceae"," g__KBS-83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14051"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__S36-B12"," f__UBA10799"," g__KLAP162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14052"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Ilumatobacteraceae"," g__Kalu-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ASV14053"," d__Bacteria"," p__Patescibacteria"," c__Dojkabacteria"," o__J137"," f__J137"," g__KatS3mg085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14054"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Mycobacteriales"," f__Pseudonocardiaceae"," g__Kibdelosporangium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14055"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Kineococcaceae"," g__Kineococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14056"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae"," g__Kineothrix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"ASV14057"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Kordia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV14058"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Terriglobales"," f__Koribacteraceae"," g__Koribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV14059"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Kribbellaceae"," g__Kribbella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0
