"","Domain","Phylum","Class","Order","Family","Genus","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV497"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__JACDCH01"," g__JACDCH01",1,0,0,6,0,0,0,27,0,3,0,3,0,0,0,1,0,1,0,0,0,1,4,0,0
"ASV498"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__GCA-2748055"," g__JACJXF01",1,0,0,0,1,0,0,3,1,0,0,0,0,17,1,1,0,0,0,0,3,0,2,0,0
"ASV499"," d__Bacteria"," p__Calditrichota"," c__Calditrichia"," o__RBG-13-44-9"," f__J042"," g__JACKAP01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"ASV500"," d__Bacteria"," p__Spirochaetota"," c__Leptospirae"," o__Leptospirales"," f__Leptospiraceae"," g__JACKPA01",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV501"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Caulobacterales"," f__Maricaulaceae"," g__JACOMS01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ASV502"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA6257"," f__Colwellbacteraceae"," g__JACOXB01",2,0,4,0,0,0,1,0,1,0,0,0,0,0,1,10,0,0,1,0,1,14,0,5,0
"ASV503"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__H02-45-28"," f__H02-45-28"," g__JACOYI01",1,0,9,0,0,0,0,0,5,1,0,0,0,0,11,6,0,0,0,0,0,3,0,0,0
"ASV504"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__Woesearchaeales"," f__GW2011-AR9"," g__JACOZP01",1,0,23,0,0,0,0,11,6,0,0,0,0,1,2,3,0,0,1,0,0,41,0,0,0
"ASV505"," d__Archaea"," p__Aenigmatarchaeota"," c__Aenigmatarchaeia"," o__GW2011-AR5"," f__GW2011-AR5"," g__JACPAG01",1,0,3,0,0,0,2,0,1,1,0,0,0,1,6,5,0,0,13,0,1,3,0,0,0
"ASV506"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__GW2011-AR18"," g__JACPCE01",1,0,134,0,0,0,0,2,20,1,0,7,0,13,9,25,0,0,0,0,0,17,0,1,0
"ASV507"," d__Archaea"," p__Aenigmatarchaeota"," c__Aenigmatarchaeia"," o__GW2011-AR5"," f__GW2011-AR5"," g__JACPDL01",2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0
"ASV508"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__JACPES01"," g__JACPES01",1,0,4,3,0,0,0,5,37,0,0,0,0,4,23,164,0,0,0,0,0,157,6,0,0
"ASV509"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__UBA922"," g__JACPGR01",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,12,1,0,0
"ASV510"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__MHMH01"," g__JACPGX01",1,3,281,6,2,4,0,18,0,49,0,6,0,28,11,80,5,1,1,0,15,1067,7,5,6
"ASV511"," d__Bacteria"," p__Methylomirabilota"," c__Methylomirabilia"," o__Rokubacteriales"," f__JACPHL01"," g__JACPHL01",1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV512"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Spechtbacterales"," f__JACPHP01"," g__JACPHP01",1,0,20,0,0,0,0,1,1,0,0,0,0,3,2,60,0,0,0,0,0,61,0,0,0
