"","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV2252",0,0,16,0,0,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,21,0,0,0
"ASV2253",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2254",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0
"ASV2255",0,0,8,0,0,0,0,1,0,5,0,0,0,2,2,21,0,0,0,0,0,9,0,0,0
"ASV2256",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0
"ASV2257",0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0
"ASV2258",0,0,34,1,0,0,0,0,47,0,0,3,0,1,8,37,0,0,1,0,0,138,0,0,0
"ASV2259",0,0,11,0,0,2,0,1,1,0,0,0,0,1,1,2,0,0,0,0,1,37,0,0,0
"ASV2260",0,0,23,1,0,0,0,8,62,0,0,0,0,0,3,22,0,0,0,0,3,46,5,0,0
"ASV2261",0,0,257,2,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,3,0,0,0
"ASV2262",0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"ASV2263",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,2,0,0
"ASV2264",0,0,8,1,0,0,0,1,36,0,0,0,0,0,2,5,0,0,0,0,2,21,0,0,0
"ASV2265",0,0,27,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0
"ASV2266",0,0,13,0,0,0,0,0,0,0,0,0,0,1,3,9,0,0,0,0,0,24,2,0,0
"ASV2267",0,0,24,0,0,0,0,0,1,0,0,1,0,4,8,40,0,0,0,0,1,2,1,0,0
"ASV2268",0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,12,0,0,0
"ASV2269",0,0,133,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,87,0,0,0
"ASV2270",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
"ASV2271",0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,1,1,0,0,0
"ASV2272",0,0,5,0,0,0,0,1,2,3,0,0,0,1,0,15,0,0,0,0,0,40,0,0,0
"ASV2273",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV2274",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,7,0,0,0
"ASV2275",0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2276",0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,11,0,0,0,0,0,89,3,0,0
"ASV2277",0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,19,6,0,0
"ASV2278",0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,18,0,0,0
"ASV2279",0,0,2,0,0,0,0,0,1,0,0,1,0,37,1,1,0,0,0,0,0,5,1,0,0
"ASV2280",0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"ASV2281",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
"ASV2282",0,0,7,0,0,0,0,0,336,0,0,2,0,0,2,16,0,0,1,0,804,23,9,1,1
"ASV2283",0,0,49,0,0,0,0,0,0,0,0,0,0,0,6,49,0,0,0,0,0,144,2,0,0
"ASV2284",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV2285",0,0,2,1,0,0,0,0,1,0,0,0,0,5,0,20,0,0,0,0,0,3,1,0,0
"ASV2286",0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,217,0,0,0,0,0,1,0,0,0
"ASV2287",0,0,2,1,0,0,0,9,1,1,0,1,0,1,1,0,0,0,0,0,5,10,1,0,1
"ASV2288",0,0,4,0,0,4,0,12,8,11,0,0,1,6,0,13,0,0,0,0,1,11,0,0,0
"ASV2289",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,34,0,0,0
"ASV2290",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV2291",0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,0
"ASV2292",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2293",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV2294",0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,68,1,0,0
"ASV2295",0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ASV2296",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0
"ASV2297",0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0
"ASV2298",0,0,2,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,1,0,1
"ASV2299",0,0,75,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0
"ASV2300",0,0,11,1,0,0,0,0,10,2,0,0,0,1,2,4,0,0,0,0,0,26,2,0,0
"ASV2301",0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,3,0,0,0
"ASV2302",0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0
"ASV2303",0,0,6,0,0,0,0,1,1,1,0,2,0,1,1,6,0,0,0,0,0,7,1,0,0
"ASV2304",0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV2305",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0
"ASV2306",0,0,1,0,0,0,0,1,0,0,0,0,0,0,87,3,0,0,0,0,0,5,0,0,0
"ASV2307",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
"ASV2308",0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,25,2,0,0
"ASV2309",0,0,31,2,0,0,0,1,0,1,0,0,0,0,1,9,0,0,0,0,0,6,0,0,0
"ASV2310",0,0,27,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,0,0,8,0,0,0
"ASV2311",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,1
"ASV2312",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ASV2313",0,0,2,1,0,0,0,1,1,0,0,0,1,0,1,5,0,0,0,0,0,1,1,0,0
"ASV2314",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,9,3,0,0
"ASV2315",0,0,14,1,0,0,0,1,2,0,0,0,0,0,3,10,0,0,0,0,0,9,0,0,0
"ASV2316",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
"ASV2317",0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"ASV2318",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,3,0,0,0
"ASV2319",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"ASV2320",0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,87,4,0,0
"ASV2321",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,0,2,0,0,0,16,1,0,0
"ASV2322",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2323",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0
"ASV2324",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"ASV2325",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV2326",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2327",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV2328",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV2329",0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0
"ASV2330",0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ASV2331",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2332",0,0,3,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0
"ASV2333",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"ASV2334",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
"ASV2335",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0
"ASV2336",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,0
"ASV2337",0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,2,1,1,0
"ASV2338",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV2339",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV2340",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2341",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0
"ASV2342",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"ASV2343",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV2344",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2345",0,0,6,1,5,2,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,2,2,0,0
"ASV2346",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"ASV2347",0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"ASV2348",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV2349",0,0,3,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,8,0,0,0
"ASV2350",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV2351",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV2352",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0
"ASV2353",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2354",0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
"ASV2355",0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,174,0,0,0,0,0,1145,1,0,0
"ASV2356",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
"ASV2357",0,0,6,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0
"ASV2358",0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"ASV2359",0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0
"ASV2360",0,0,2,1,0,0,0,0,1,0,0,0,0,11,0,5,0,0,0,0,0,12,0,0,0
"ASV2361",0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0
"ASV2362",0,0,4,2,0,0,0,1,1,1,0,0,0,14,2,5,0,0,0,0,0,11,6,0,0
"ASV2363",0,0,15,0,0,0,0,0,3,0,0,0,0,4,2,20,0,0,0,0,2,26,0,1,0
"ASV2364",0,0,18,0,0,0,0,0,2,0,0,0,0,1,2,84,0,0,0,0,0,32,0,0,0
"ASV2365",0,0,6,0,0,0,0,0,0,0,0,1,0,1,2,30,0,0,0,0,0,2,0,0,0
"ASV2366",0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,29,0,0,0
"ASV2367",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,2,0,0,1
"ASV2368",0,0,233,4,1,1,0,6,11,1,0,0,0,31,5,1050,1,0,0,0,11,251,2,3,0
"ASV2369",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"ASV2370",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ASV2371",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0
"ASV2372",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2373",0,0,856,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,2,4,0,0
"ASV2374",0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0
"ASV2375",0,0,4,0,0,0,0,17,0,1,0,0,0,0,8,0,0,0,0,0,0,17,4,0,0
"ASV2376",0,0,1,3,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,3,2,0,0
"ASV2377",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2378",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
"ASV2379",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
"ASV2380",0,0,3,0,1,0,0,4,3,0,2,2,0,11,4,0,4,1,1,0,178,6,2,2,2
"ASV2381",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"ASV2382",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV2383",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2384",0,0,43,3,0,0,9,417,38,297,0,140,0,0,37,0,0,0,1,0,52,8,118,0,0
"ASV2385",0,0,5,0,0,0,0,19,1,1,0,18,0,0,4,0,1,0,7,0,0,0,3,0,0
"ASV2386",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2387",0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2388",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,7
"ASV2389",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV2390",0,0,17,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,17,41,0,1,1
"ASV2391",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0
"ASV2392",0,0,3,0,6,7,0,1,1,0,1,0,0,0,1,2,12,0,2,0,1,2,1,0,0
"ASV2393",0,0,2,5,0,0,0,8,0,0,0,0,0,0,3,0,1,0,1,0,2,4,12,0,1
"ASV2394",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ASV2395",0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0
"ASV2396",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2397",0,0,4,0,0,0,0,0,1,0,0,0,0,4,3,6,0,0,0,0,0,2,0,0,0
"ASV2398",0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0
"ASV2399",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV2400",0,0,4,0,0,2,0,0,12,0,0,0,1,6,3,20,0,0,0,0,0,6,4,0,0
"ASV2401",0,0,1,1,7,28,0,2,1,3,0,1,0,0,1,27,3,4,2,1,0,0,1,0,7
"ASV2402",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ASV2403",0,0,12,0,0,0,0,2,3,0,0,0,0,13,2,37,0,0,0,0,2,46,2,0,0
"ASV2404",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2405",0,0,48,35,0,0,0,5,6,3,0,0,0,0,1,10,0,0,0,0,1,47,4,0,0
"ASV2406",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV2407",0,0,5,0,0,0,0,0,0,0,0,2,0,13,0,0,0,1,0,0,0,5,0,0,0
"ASV2408",0,0,24,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,0,0
"ASV2409",0,0,9,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,0,1,12,2,0,0
"ASV2410",0,0,3,0,0,0,0,2,1,0,0,1,0,1,2,6,0,0,2,0,3,2,1,0,0
"ASV2411",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2412",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2413",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2414",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2415",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2416",0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2417",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"ASV2418",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV2419",0,0,5,4,1,0,1,1,0,1,0,0,0,2,0,7,0,0,0,0,2,4,4,0,0
"ASV2420",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV2421",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2422",0,0,1,0,0,0,1,1,2,1,0,0,0,4,1,1,0,0,1,0,1,4,0,0,0
"ASV2423",0,0,8,0,0,0,0,2,0,0,0,2,0,0,1,3,0,0,0,0,0,8,0,0,0
"ASV2424",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2425",0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,5,8,0,0
"ASV2426",0,0,1,1,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0
"ASV2427",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV2428",0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
"ASV2429",0,0,2,0,0,0,0,1,0,0,0,1,1,4,0,1,0,0,0,0,0,2,0,0,0
"ASV2430",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2431",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
"ASV2432",0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV2433",0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"ASV2434",0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,5,0,0,0
"ASV2435",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV2436",0,0,2,0,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
"ASV2437",0,0,2,4,1,0,0,5,0,5,0,3,2,3,6,6,0,0,1,0,1,8,4,3,0
"ASV2438",0,0,7,4,0,0,1,2,4,12,1,12,0,6,5,16,0,0,10,1,6,9,4,29,1
"ASV2439",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2440",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2441",0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV2442",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV2443",0,0,10,1,0,0,0,6,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,14
"ASV2444",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
"ASV2445",0,0,3,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
"ASV2446",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV2447",0,0,6,0,0,0,0,0,5,0,0,0,0,2,1,3,0,0,0,0,0,1,0,1,0
"ASV2448",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2449",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2450",0,0,3,2,0,0,0,0,1,0,0,2,0,3,0,5,0,0,0,0,1,11,0,0,0
"ASV2451",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2452",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ASV2453",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
"ASV2454",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV2455",0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ASV2456",0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"ASV2457",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"ASV2458",0,0,9,0,0,0,0,2,0,1,0,1,0,0,0,3,2,0,3,0,0,3,0,0,0
"ASV2459",0,0,4,1,0,1,0,0,1,0,0,1,0,0,0,5,0,0,0,0,2,0,5,0,0
"ASV2460",0,0,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ASV2461",0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,41,0,0,0,0,0,8,1,0,0
"ASV2462",0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,2,7,0,0
"ASV2463",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"ASV2464",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2465",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2466",0,0,4,0,0,0,0,0,4,0,0,0,0,2,2,68,0,0,0,0,0,3,0,0,0
"ASV2467",0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV2468",0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0
"ASV2469",0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"ASV2470",0,0,4,0,0,2,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,7,0,1,0
"ASV2471",0,0,14,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0
"ASV2472",0,0,1,0,0,0,0,0,2,0,0,1,0,7,0,0,0,0,0,0,0,7,1,0,0
"ASV2473",0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"ASV2474",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"ASV2475",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV2476",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2477",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2
"ASV2478",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2479",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
"ASV2480",0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"ASV2481",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
