"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV1","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20"
"ASV2","Bacteria","Bdellovibrionota","Oligoflexia","053A03-B-DI-P58","053A03-B-DI-P58","053A03-B-DI-P58"
"ASV3","Bacteria","Pseudomonadota","Gammaproteobacteria","1013-28-CG33","1013-28-CG33","1013-28-CG33"
"ASV4","Bacteria","Patescibacteria","Parcubacteria","32-520","32-520","32-520"
"ASV5","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","37-13"
"ASV6","Bacteria","Elusimicrobiota","4-29","4-29","4-29","4-29"
"ASV7","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1"
"ASV8","Bacteria","Chloroflexota","Dehalococcoidia","661239","661239","661239"
"ASV9","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"ASV10","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","A0839","A0839"
"ASV11","Bacteria","Chloroflexota","Anaerolineae","Aggregatilineales","A4b","A4b"
"ASV12","Bacteria","Balneolota","Balneolia","Balneolales","Balneolaceae","A815"
"ASV13","Bacteria","Chloroflexota","Dehalococcoidia","GIF9","AB-539-J10","AB-539-J10"
"ASV14","Bacteria","Patescibacteria","ABY1","ABY1","ABY1","ABY1"
"ASV15","Bacteria","Chloroflexota","AD3","AD3","AD3","AD3"
"ASV16","Bacteria","Chloroflexota","Anaerolineae","ADurb.Bin180","ADurb.Bin180","ADurb.Bin180"
"ASV17","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","ADurb.Bin408","ADurb.Bin408"
"ASV18","Bacteria","Gemmatimonadota","AKAU4049","AKAU4049","AKAU4049","AKAU4049"
"ASV19","Bacteria","Chloroflexota","Chloroflexia","Thermomicrobiales","AKYG1722","AKYG1722"
"ASV20","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","AKYH767"
"ASV21","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","ANME-3"
"ASV22","Bacteria","Acetothermia","Acetothermiia","Incertae Sedis","Incertae Sedis","AOM-SR-B11"
"ASV23","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR15"
"ASV24","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR20"
"ASV25","Bacteria","Acidobacteriota","AT-s3-28","AT-s3-28","AT-s3-28","AT-s3-28"
"ASV26","Bacteria","Abditibacteriota","Abditibacteriia","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV27","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)"
"ASV28","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Ac37b"
"ASV29","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacteraceae"
"ASV30","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium"
"ASV31","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter"
"ASV32","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"ASV33","Bacteria","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Acidiferrobacteraceae"
"ASV34","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobiaceae"
"ASV35","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiia","Acidimicrobiia","Acidimicrobiia"
"ASV36","Bacteria","Acidobacteriota","Acidobacteriota","Acidobacteriota","Acidobacteriota","Acidobacteriota"
"ASV37","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"ASV38","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV39","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Actimicrobium"
"ASV40","Bacteria","Actinomycetota","Actinobacteria","Actinobacteria","Actinobacteria","Actinobacteria"
"ASV41","Bacteria","Actinomycetota","Acidimicrobiia","Actinomarinales","Actinomarinales","Actinomarinales"
"ASV42","Bacteria","Actinomycetota","Actinomycetota","Actinomycetota","Actinomycetota","Actinomycetota"
"ASV43","Archaea","Aenigmarchaeota","Aenigmarchaeia","Aenigmarchaeales","Aenigmarchaeales","Aenigmarchaeales"
"ASV44","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aequorivita"
"ASV45","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"ASV46","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Afipia"
"ASV47","Bacteria","Chloroflexota","Anaerolineae","Aggregatilineales","Aggregatilineaceae","Aggregatilineaceae"
"ASV48","Bacteria","Chloroflexota","Anaerolineae","Aggregatilineales","Aggregatilineales","Aggregatilineales"
"ASV49","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Agitococcus"
"ASV50","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium"
"ASV51","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Ahniella"
"ASV52","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae"
"ASV53","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax"
"ASV54","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus"
"ASV55","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Idiomarinaceae","Aliidiomarina"
"ASV56","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Kangiellaceae","Aliikangiella"
"ASV57","Bacteria","Bacillota","Clostridia","Eubacteriales","Alkalibacteraceae","Alkalibacter"
"ASV58","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Alkalibacterium"
"ASV59","Bacteria","Bacillota","Bacilli","Bacillales","Salisediminibacteriaceae","Alkalicoccus"
"ASV60","Bacteria","Pseudomonadota","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria"
"ASV61","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Alteraurantiacibacter"
"ASV62","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Amb-16S-1323","Amb-16S-1323"
"ASV63","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","Aminicenantaceae","Aminicenans"
"ASV64","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Aminobacter"
"ASV65","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"ASV66","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Anaerocella"
"ASV67","Bacteria","Bacillota","Clostridia","Eubacteriales","Anaerofustaceae","Anaerofustis"
"ASV68","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"ASV69","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae"
"ASV70","Bacteria","Chloroflexota","Anaerolineae","Anaerolineae","Anaerolineae","Anaerolineae"
"ASV71","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV72","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax"
"ASV73","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Ancylobacter"
"ASV74","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Antarcticibacterium"
"ASV75","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"ASV76","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Aquamicrobium"
"ASV77","Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","Aquicella"
"ASV78","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Aquimonas"
"ASV79","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Aquirhabdus"
"ASV80","Archaea","Archaea","Archaea","Archaea","Archaea","Archaea"
"ASV81","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Arenibacter"
"ASV82","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Arenimonas"
"ASV83","Bacteria","Armatimonadota","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonadaceae"
"ASV84","Bacteria","Armatimonadota","Armatimonadota","Armatimonadota","Armatimonadota","Armatimonadota"
"ASV85","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Arsenicitalea"
"ASV86","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Arsukibacterium"
"ASV87","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"ASV88","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"ASV89","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Aurantimicrobium"
"ASV90","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Aurantimonas"
"ASV91","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas"
"ASV92","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azomonas"
"ASV93","Bacteria","Pseudomonadota","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"ASV94","Bacteria","Gemmatimonadota","BD2-11 terrestrial group","BD2-11 terrestrial group","BD2-11 terrestrial group","BD2-11 terrestrial group"
"ASV95","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11"
"ASV96","Bacteria","BHI80-139","BHI80-139","BHI80-139","BHI80-139","BHI80-139"
"ASV97","Bacteria","Myxococcota","Polyangiia","Polyangiales","BIrii41","BIrii41"
"ASV98","Bacteria","Nitrospirota","BMS9AB35","BMS9AB35","BMS9AB35","BMS9AB35"
"ASV99","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13"
"ASV100","Bacteria","Candidatus Kryptonia","Kryptonia","Kryptoniales","BSV26","BSV26"
"ASV101","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","BSV40","BSV40"
"ASV102","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae","Babeliaceae"
"ASV103","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliales","Babeliales"
"ASV104","Bacteria","Bacillota","Bacilli","Bacilli","Bacilli","Bacilli"
"ASV105","Bacteria","Bacillota","Bacillota","Bacillota","Bacillota","Bacillota"
"ASV106","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"ASV107","Bacteria","Bdellovibrionota","Bacteriovoracia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax"
"ASV108","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales","Bacteroidales"
"ASV109","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Bacteroidetes BD2-2"
"ASV110","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes VC2.1 Bac22","Bacteroidetes VC2.1 Bac22","Bacteroidetes VC2.1 Bac22"
"ASV111","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17","Bacteroidetes vadinHA17"
"ASV112","Bacteria","Bacteroidota","Bacteroidia","Bacteroidia","Bacteroidia","Bacteroidia"
"ASV113","Bacteria","Balneolota","Balneolia","Balneolales","Balneolaceae","Balneolaceae"
"ASV114","Archaea","Thermoproteota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia"
"ASV115","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiales Incertae Sedis","Bauldia"
"ASV116","Bacteria","Patescibacteria","Berkelbacteria","Berkelbacteria","Berkelbacteria","Berkelbacteria"
"ASV117","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatellaceae"
"ASV118","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas"
"ASV119","Bacteria","Myxococcota","Polyangiia","Blfdi19","Blfdi19","Blfdi19"
"ASV120","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Blvii28 wastewater-sludge group"
"ASV121","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Bosea"
"ASV122","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium"
"ASV123","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"ASV124","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV125","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacteraceae"
"ASV126","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiales","Burkholderiales"
"ASV127","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045"
"ASV128","Bacteria","Planctomycetota","Phycisphaerae","CCM11a","CCM11a","CCM11a"
"ASV129","Bacteria","Pseudomonadota","Gammaproteobacteria","CCM19a","CCM19a","CCM19a"
"ASV130","Bacteria","Patescibacteria","Parcubacteria","CG1-02-42-13","CG1-02-42-13","CG1-02-42-13"
"ASV131","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Incertae Sedis","CG1-02-57-44"
"ASV132","Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Incertae Sedis","CG1_02_55_22"
"ASV133","Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Incertae Sedis","CG1_02_55_41"
"ASV134","Bacteria","Actinomycetota","Coriobacteriia","CG2-30-50-142","CG2-30-50-142","CG2-30-50-142"
"ASV135","Bacteria","Balneolota","Balneolia","Balneolales","Balneolaceae","CK06-06-Mud-MAS4B-21"
"ASV136","Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"ASV137","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3"
"ASV138","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","CMW-169","CMW-169"
"ASV139","Bacteria","Patescibacteria","CPR2","CPR2","CPR2","CPR2"
"ASV140","Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Incertae Sedis","CSP1-2"
"ASV141","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas"
"ASV142","Bacteria","Bacillota","Clostridia","Caldicoprobacterales","Caldicoprobacteraceae","Caldicoprobacter"
"ASV143","Bacteria","Chloroflexota","Anaerolineae","Caldilineales","Caldilineaceae","Caldilineaceae"
"ASV144","Bacteria","Bacillota","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Caldinitratiruptor"
"ASV145","Bacteria","Caldisericota","Caldisericia","Caldisericales","Caldisericaceae","Caldisericum"
"ASV146","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Abawacabacteria","Candidatus Abawacabacteria","Candidatus Abawacabacteria"
"ASV147","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Candidatus Accumulibacter"
"ASV148","Bacteria","Patescibacteria","Parcubacteria","Candidatus Adlerbacteria","Candidatus Adlerbacteria","Candidatus Adlerbacteria"
"ASV149","Archaea","Altiarchaeota","Altiarchaeia","Altiarchaeales","Altiarchaeaceae","Candidatus Altiarchaeum"
"ASV150","Bacteria","Patescibacteria","Microgenomatia","Candidatus Amesbacteria","Candidatus Amesbacteria","Candidatus Amesbacteria"
"ASV151","Bacteria","Patescibacteria","Parcubacteria","Candidatus Azambacteria","Candidatus Azambacteria","Candidatus Azambacteria"
"ASV152","Bacteria","Patescibacteria","Microgenomatia","Candidatus Beckwithbacteria","Candidatus Beckwithbacteria","Candidatus Beckwithbacteria"
"ASV153","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Candidatus Berkiella"
"ASV154","Bacteria","Planctomycetota","Brocadiae","Brocadiales","Brocadiaceae","Candidatus Brocadia"
"ASV155","Bacteria","Patescibacteria","ABY1","Candidatus Buchananbacteria","Candidatus Buchananbacteria","Candidatus Buchananbacteria"
"ASV156","Bacteria","Patescibacteria","Parcubacteria","Candidatus Campbellbacteria","Candidatus Campbellbacteria","Candidatus Campbellbacteria"
"ASV157","Bacteria","Pseudomonadota","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus Captivus"
"ASV158","Bacteria","Patescibacteria","Microgenomatia","Candidatus Chisholmbacteria","Candidatus Chisholmbacteria","Candidatus Chisholmbacteria"
"ASV159","Bacteria","Patescibacteria","Microgenomatia","Candidatus Collierbacteria","Candidatus Collierbacteria","Candidatus Collierbacteria"
"ASV160","Bacteria","Patescibacteria","Parcubacteria","Candidatus Colwellbacteria","Candidatus Colwellbacteria","Candidatus Colwellbacteria"
"ASV161","Bacteria","Bacillota","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","Candidatus Contubernalis"
"ASV162","Bacteria","Patescibacteria","Microgenomatia","Candidatus Curtissbacteria","Candidatus Curtissbacteria","Candidatus Curtissbacteria"
"ASV163","Bacteria","Patescibacteria","Microgenomatia","Candidatus Daviesbacteria","Candidatus Daviesbacteria","Candidatus Daviesbacteria"
"ASV164","Bacteria","Bacillota","Desulfotomaculia","Ammonifexales","Desulforudaceae","Candidatus Desulforudis"
"ASV165","Bacteria","Patescibacteria","Parcubacteria","Candidatus Doudnabacteria","Candidatus Doudnabacteria","Candidatus Doudnabacteria"
"ASV166","Bacteria","Pseudomonadota","Gammaproteobacteria","Piscirickettsiales","Piscirickettsiaceae","Candidatus Endoecteinascidia"
"ASV167","Bacteria","Patescibacteria","ABY1","Candidatus Falkowbacteria","Candidatus Falkowbacteria","Candidatus Falkowbacteria"
"ASV168","Bacteria","Patescibacteria","Parcubacteria","Candidatus Giovannonibacteria","Candidatus Giovannonibacteria","Candidatus Giovannonibacteria"
"ASV169","Bacteria","Patescibacteria","Microgenomatia","Candidatus Gottesmanbacteria","Candidatus Gottesmanbacteria","Candidatus Gottesmanbacteria"
"ASV170","Archaea","Iainarchaeota","Iainarchaeia","Iainarchaeales","Iainarchaeaceae","Candidatus Iainarchaeum"
"ASV171","Bacteria","Patescibacteria","Parcubacteria","Candidatus Jorgensenbacteria","Candidatus Jorgensenbacteria","Candidatus Jorgensenbacteria"
"ASV172","Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria","Candidatus Kaiserbacteria","Candidatus Kaiserbacteria"
"ASV173","Bacteria","Patescibacteria","ABY1","Candidatus Kerfeldbacteria","Candidatus Kerfeldbacteria","Candidatus Kerfeldbacteria"
"ASV174","Bacteria","Patescibacteria","ABY1","Candidatus Komeilibacteria","Candidatus Komeilibacteria","Candidatus Komeilibacteria"
"ASV175","Bacteria","Patescibacteria","ABY1","Candidatus Kuenenbacteria","Candidatus Kuenenbacteria","Candidatus Kuenenbacteria"
"ASV176","Bacteria","Planctomycetota","Brocadiae","Brocadiales","Brocadiaceae","Candidatus Kuenenia"
"ASV177","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Candidatus Latescibacter"
"ASV178","Bacteria","Patescibacteria","Microgenomatia","Candidatus Levybacteria","Candidatus Levybacteria","Candidatus Levybacteria"
"ASV179","Bacteria","Patescibacteria","Parcubacteria","Candidatus Liptonbacteria","Candidatus Liptonbacteria","Candidatus Liptonbacteria"
"ASV180","Bacteria","Patescibacteria","ABY1","Candidatus Magasanikbacteria","Candidatus Magasanikbacteria","Candidatus Magasanikbacteria"
"ASV181","Archaea","Methanobacteriota","Thermococci","Methanofastidiosales","Methanofastidiosaceae","Candidatus Methanofastidiosum"
"ASV182","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanoperedenaceae","Candidatus Methanoperedens"
"ASV183","Bacteria","Methylomirabilota","Methylomirabilia","Methylomirabilales","Methylomirabilaceae","Candidatus Methylomirabilis"
"ASV184","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Candidatus Methylopumilus"
"ASV185","Bacteria","Patescibacteria","Parcubacteria","Candidatus Moranbacteria","Candidatus Moranbacteria","Candidatus Moranbacteria"
"ASV186","Bacteria","Patescibacteria","Parcubacteria","Candidatus Nealsonbacteria","Candidatus Nealsonbacteria","Candidatus Nealsonbacteria"
"ASV187","Bacteria","SAR324 clade(Marine group B)","Incertae Sedis","Incertae Sedis","Incertae Sedis","Candidatus Nitrosoarchaeum"
"ASV188","Archaea","Thermoproteota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrosocosmicus"
"ASV189","Archaea","Thermoproteota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea"
"ASV190","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Candidatus Nitrotoga"
"ASV191","Bacteria","Patescibacteria","Parcubacteria","Candidatus Nomurabacteria","Candidatus Nomurabacteria","Candidatus Nomurabacteria"
"ASV192","Bacteria","Pseudomonadota","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Candidatus Nucleicultrix"
"ASV193","Bacteria","Cyanobacteriota","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus Obscuribacter"
"ASV194","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus Omnitrophus"
"ASV195","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Candidatus Ovatusbacter"
"ASV196","Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria","Candidatus Pacebacteria","Candidatus Pacebacteria"
"ASV197","Bacteria","Patescibacteria","Parcubacteria","Paceibacterales","Paceibacteraceae","Candidatus Paceibacter"
"ASV198","Bacteria","Pseudomonadota","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus Paracaedibacter"
"ASV199","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria"
"ASV200","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria","Candidatus Peribacteria","Candidatus Peribacteria"
"ASV201","Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","Candidatus Planktophila"
"ASV202","Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Parachlamydiaceae","Candidatus Protochlamydia"
"ASV203","Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Simkaniaceae","Candidatus Renichlamydia"
"ASV204","Bacteria","Patescibacteria","Microgenomatia","Candidatus Roizmanbacteria","Candidatus Roizmanbacteria","Candidatus Roizmanbacteria"
"ASV205","Bacteria","Patescibacteria","Microgenomatia","Candidatus Shapirobacteria","Candidatus Shapirobacteria","Candidatus Shapirobacteria"
"ASV206","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"ASV207","Bacteria","Patescibacteria","Parcubacteria","Candidatus Spechtbacteria","Candidatus Spechtbacteria","Candidatus Spechtbacteria"
"ASV208","Bacteria","Patescibacteria","Parcubacteria","Candidatus Staskawiczbacteria","Candidatus Staskawiczbacteria","Candidatus Staskawiczbacteria"
"ASV209","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Candidatus Symbiobacter"
"ASV210","Bacteria","Pseudomonadota","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus Tenderia"
"ASV211","Bacteria","Patescibacteria","Parcubacteria","Candidatus Terrybacteria","Candidatus Terrybacteria","Candidatus Terrybacteria"
"ASV212","Bacteria","Patescibacteria","ABY1","Candidatus Uhrbacteria","Candidatus Uhrbacteria","Candidatus Uhrbacteria"
"ASV213","Bacteria","Patescibacteria","Parcubacteria","Candidatus Vogelbacteria","Candidatus Vogelbacteria","Candidatus Vogelbacteria"
"ASV214","Bacteria","Patescibacteria","Microgenomatia","Candidatus Woesebacteria","Candidatus Woesebacteria","Candidatus Woesebacteria"
"ASV215","Bacteria","Patescibacteria","Parcubacteria","Candidatus Wolfebacteria","Candidatus Wolfebacteria","Candidatus Wolfebacteria"
"ASV216","Bacteria","Patescibacteria","Microgenomatia","Candidatus Woykebacteria","Candidatus Woykebacteria","Candidatus Woykebacteria"
"ASV217","Bacteria","Patescibacteria","Parcubacteria","Candidatus Yanofskybacteria","Candidatus Yanofskybacteria","Candidatus Yanofskybacteria"
"ASV218","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV219","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae"
"ASV220","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Cavicella"
"ASV221","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Cellulosilyticum"
"ASV222","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio"
"ASV223","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Cephaloticoccus"
"ASV224","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Chelativorans"
"ASV225","Bacteria","Fibrobacterota","Chitinivibrionia","Chitinivibrionia","Chitinivibrionia","Chitinivibrionia"
"ASV226","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophagaceae"
"ASV227","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagales","Chitinophagales"
"ASV228","Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydiaceae"
"ASV229","Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Chlamydiales","Chlamydiales"
"ASV230","Bacteria","Chlamydiota","Chlamydiia","Chlamydiia","Chlamydiia","Chlamydiia"
"ASV231","Bacteria","Chloroflexota","Chloroflexota","Chloroflexota","Chloroflexota","Chloroflexota"
"ASV232","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast"
"ASV233","Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae"
"ASV234","Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group"
