"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C24","C3","C4","C5","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E6","E9"
"41","ASV538","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanomicrobiales","Methanomicrobiales",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","ASV539","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula",4,0,0,0,0,0,0,1081,0,134,28,9,281,0,121,0,320,581,8,0,1419,110,1376,0,0,13,439,1744,1469,0,0,1784,2384,93,752,0,189,388
"43","ASV540","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0,0,0,0,0,36,0,0,0,0,0
"44","ASV541","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanosphaerula",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0
"45","ASV542","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanospirillaceae","Methanospirillum",0,0,0,0,0,0,0,183,54,15,170,27,0,0,0,0,0,8,0,0,121,20,21,0,0,0,0,106,132,0,0,0,0,0,10,0,7,0
"46","ASV543","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosaetaceae","Methanothrix",0,0,0,0,0,0,0,0,0,24,36,0,0,0,0,0,33,0,0,0,71,119,776,0,0,0,0,83,84,0,0,0,0,0,101,0,9,0
"47","ASV569","Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Micrarchaeales","Micrarchaeales",0,0,0,110,107,26,26,226,0,35,13,140,9,79,0,23,0,0,0,0,10,11,9,168,146,1075,70,11,7,57,0,0,0,82,4,6,0,0
"48","ASV591","Archaea","Nanoarchaeota","Nanoarchaeia","Nanoarchaeia","Nanoarchaeia","Nanoarchaeia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,258,0,0,0,0
"49","ASV598","Archaea","Thermoproteota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosarchaeum",0,0,0,0,0,144,0,0,0,0,0,0,25,54,0,11,0,0,0,0,0,0,0,0,53,0,45,0,0,0,0,0,0,0,0,0,0,0
"50","ASV600","Archaea","Thermoproteota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","ASV601","Archaea","Thermoproteota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","ASV602","Archaea","Thermoproteota","Nitrososphaeria","Nitrososphaeria","Nitrososphaeria","Nitrososphaeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","ASV604","Archaea","Thermoproteota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Nitrosotaleaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","ASV638","Archaea","Nanoarchaeota","Nanoarchaeia","Pacearchaeales","Pacearchaeales","Pacearchaeales",0,0,0,0,108,39,3,11,0,17,12,136,26,158,6,0,0,0,0,11,23,32,22,0,84,843,16,50,14,7,0,29,39,114,12,149,30,0
"55","ASV764","Archaea","Nanoarchaeota","Nanoarchaeia","Pacearchaeales","Incertae Sedis","SCGC AAA011-D5",0,0,0,38,133,342,0,25,0,13,0,517,8,1224,0,279,0,0,25,10,80,6,42,60,374,1583,23,62,38,22,3,0,3,293,0,0,0,0
"56","ASV767","Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","SDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","ASV770","Archaea","Thermoplasmatota","Thermoplasmata","SG8-5","SG8-5","SG8-5",0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,16,79,6,6,0,0,0,77,0,0,0,0,0
"58","ASV888","Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmata","Thermoplasmata","Thermoplasmata",96,0,220,0,5,0,2,78,0,11,28,0,8,23,138,0,0,0,43,0,0,0,0,55,0,49,29,0,0,0,0,18,0,253,0,0,0,0
"59","ASV889","Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmatales","Thermoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","ASV929","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales","Woesearchaeales",8,0,19,231,797,3513,13,29,0,76,0,1405,1120,5984,7,4249,52,2,27,3,47,92,19,1238,1713,3143,227,57,49,241,7,0,64,1066,30,55,52,0
