RetTime,Area,Amt/Area,Amount,Filename,ImageName
1.481,97040,1.43461E-06,0.139215,N20_20250129_220PM_SANNNO1-20250121-1100AM-SMPL,20250129_223406593_iOS
1.48,105860,0.143461,0.151867,N20_20250129_220PM_SANNNO2-20250121-1100AM-SMPL,20250129_223659934_iOS
1.48,96851.4,1.43461E-06,0.138944,N20_20250129_220PM_SANNNO3-20250121-1100AM-SMPL,20250129_224002476_iOS
1.479,23369.1,1.43462E-06,0.0335255,N2O_20250129_220PM_SALNWO1-20250121-1100AM-SMPL,20250129_224309033_iOS
1.479,50910.4,1.43461E-06,0.0730366,N20_20250129_220PM_SALNWO2-20250121-1100AM-SAMPL,20250129_224612263_iOS
1.478,86010.4,0.001434616,0.123391,N2O_20250129_220PM_SALNWO3-20250121-1100AM-SMPL,20250129_224854876_iOS
1.477,21535.6,1.43461E-06,0.0308952,N2O_20250129_220PM_SHLNNO1-20250121-1100AM-SMPL,20250129_225158559_iOS
1.476,26558.7,1.43461E-06,0.0381013,N2O_20250129_220PM_SHLNNO2-20250121-1100AM-SMPL,20250129_225445026_iOS
1.475,25430.74,1.43461E-06,0.0364832,N2O_20250129_220PM_SHLNNO3-20250121-1100AM-SMPL,20250129_225735559_iOS
1.474,23846.5,1.43461E-06,0.0342104,N20_20250129_220PM_SHNNNO1-20250121-1100AM-SMPL,20250129_230014922_iOS
1.475,22539.8,1.43461E-06,3.23E-02,N20_20250129_220PM_SHNNNO2-20250121-1100AM-SMPL,20250129_230253273_iOS
1.474,20447.2,1.43462E-06,0.0293338,N20_20250129_220PM_SHNNNO3-20250121-1100AM-SMPL,20250129_230533536_iOS
1.473,10452.7,1.43462E-06,1.50E-02,N20_20250129_220PM_SHLNWO1-20250121-1100AM-SMPL,20250129_230818397_iOS
1.472,19890.6,1.43462E-06,0.028532,N20_20250129_220PM_SHLNWO2-20250121-1100AM-SMPL,20250129_231107040_iOS
