Filename,GenomeCode,Domain,Well,Year,Project
GLC_25GOWN_ARCH-G20-GW3103_20251031,G20,ARCH,GW3103,2025,GOWN
GLC_25GOWN_ARCH-G21-GW292_20251031,G21,ARCH,GW292,2025,GOWN
GLC_25GOWN_ARCH-G22-GW429_20251031,G22,ARCH,GW429,2025,GOWN
GLC_25GOWN_ARCH-G23-GW374_20251031,G23,ARCH,GW374,2025,GOWN
GLC_25GOWN_ARCH-G24-GW373_20251031,G24,ARCH,GW373,2025,GOWN
GLC_25GOWN_ARCH-G25-GW364_20251031,G25,ARCH,GW364,2025,GOWN
GLC_25GOWN_ARCH-G26-GW449_20251031,G26,ARCH,GW449,2025,GOWN
GLC_25GOWN_ARCH-G27-GW143_20251031,G27,ARCH,GW143,2025,GOWN
GLC_25GOWN_ARCH-G28-GW178_20251031,G28,ARCH,GW178,2025,GOWN
GLC_25GOWN_ARCH-G29-GW176_20251031,G29,ARCH,GW176,2025,GOWN
GLC_25GOWN_ARCH-G30-GW148_20251031,G30,ARCH,GW148,2025,GOWN
GLC_25GOWN_ARCH-G31-GW339_20251031,G31,ARCH,GW339,2025,GOWN
GLC_25GOWN_ARCH-G32-GW376_20251031,G32,ARCH,GW376,2025,GOWN
GLC_25GOWN_ARCH-G33-GW237_20251031,G33,ARCH,GW237,2025,GOWN
GLC_25GOWN_ARCH-G34-GW267_20251031,G34,ARCH,GW267,2025,GOWN
GLC_25GOWN_ARCH-G35-GW294_20251031,G35,ARCH,GW294,2025,GOWN
GLC_25GOWN_ARCH-G36-GW3021_20251031,G36,ARCH,GW3021,2025,GOWN
GLC_25GOWN_ARCH-G37-GW4016_20251031,G37,ARCH,GW4016,2025,GOWN
GLC_25GOWN_ARCH-G38-GW481_20251031,G38,ARCH,GW481,2025,GOWN
GLC_25GOWN_ARCH-G39-GW931_20251031,G39,ARCH,GW931,2025,GOWN
GLC_25GOWN_ARCH-G40-GW456_20251031,G40,ARCH,GW456,2025,GOWN
GLC_25GOWN_ARCH-G41-GW162_20251031,G41,ARCH,GW162,2025,GOWN
GLC_25GOWN_ARCH-G42-GW274_20251031,G42,ARCH,GW274,2025,GOWN
GLC_25GOWN_ARCH-G43-GW295_20251031,G43,ARCH,GW295,2025,GOWN
GLC_25GOWN_ARCH-G44-NC_20251031,G44,ARCH,NC,2025,GOWN
GLC_25GOWN_ARCH-G45-NC_20251031,G45,ARCH,NC,2025,GOWN
GLC_25GOWN_ARCH-G46-GW760_20251031,G46,ARCH,GW760,2025,GOWN
GLC_25GOWN_ARCH-G47-GW218_20251031,G47,ARCH,GW218,2025,GOWN
GLC_25GOWN_ARCH-G48-GW217_20251031,G48,ARCH,GW217,2025,GOWN
GLC_25GOWN_BACT-G1-GW265_20251031,G01,BACT,GW265,2025,GOWN
GLC_25GOWN_BACT-G2-GW146_20251031,G02,BACT,GW146,2025,GOWN
GLC_25GOWN_BACT-G3-GW112_20251031,G03,BACT,GW112,2025,GOWN
GLC_25GOWN_BACT-G4-GW109_20251031,G04,BACT,GW109,2025,GOWN
GLC_25GOWN_BACT-G5-GW101_20251031,G05,BACT,GW101,2025,GOWN
GLC_25GOWN_BACT-G6-GW332_20251031,G06,BACT,GW332,2025,GOWN
GLC_25GOWN_BACT-G7-GW277_20251031,G07,BACT,GW277,2025,GOWN
GLC_25GOWN_BACT-G8-GW281_20251031,G08,BACT,GW281,2025,GOWN
GLC_25GOWN_BACT-G9-GW275_20251031,G09,BACT,GW275,2025,GOWN
GLC_25GOWN_BACT-G10-GW222_20251031,G10,BACT,GW222,2025,GOWN
GLC_25GOWN_BACT-G11-GW3050_20251031,G11,BACT,GW3050,2025,GOWN
GLC_25GOWN_BACT-G12-GW114_20251031,G12,BACT,GW114,2025,GOWN
