#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19019-C5-GOWN983.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19019-C5-GOWN983_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#92371822 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 43382443
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	2|1224|1236|135613|72276	0.0066173710622488315	0.001563710380687417	9688
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB10823|o__OFGB10823|f__FGB10823	2|200940|||	0.0059457713022051245	0.0014043240911399482	13482
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae	2|1224|28211|1921002|1777752	0.0058565377676538626	0.0013842462135150984	5621
k__Bacteria|p__Firmicutes|c__CFGB8920|o__OFGB8920|f__FGB8920	2|1239|||	0.004903147898500908	0.0011581648275376603	4861
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae	2|2498705|2498706|2498707|2498708	0.004518034749384937	0.0010678937333176161	8075
k__Bacteria|p__Mycoplasmatota|c__CFGB32834|o__OFGB32834|f__FGB32834	2|544448|||	0.004259727149368126	0.0010067745703371863	6559
k__Bacteria|p__Chloroflexota|c__Chloroflexota_unclassified|o__Chloroflexota_unclassified|f__Chloroflexota_unclassified	2|200795|||	0.004250334145731152	0.001004226727365041	11878
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.004170493614816865	0.0009854513034007863	10137
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Reyranellaceae	2|1224|28211|356|2844375	0.003752504952971481	0.0008862725093648966	91251
k__Bacteria|p__Actinomycetota|c__CFGB32794|o__OFGB32794|f__FGB32794	2|201174|||	0.0036069133965983694	0.0008520628983439464	21600
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	2|1224|28211|204457|2820280	0.0035975203929613946	0.0008500412311627129	13355
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB12416|o__OFGB12416|f__FGB12416	2|200940|||	0.003010457665650462	0.0007111836363190505	6763
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae	2|1224|28216|206389|2008794	0.002409305432884067	0.0005694598924448417	7431
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB25829|o__OFGB25829|f__FGB25829	2|200940|||	0.0022167488583260814	0.0005233657420977898	7851
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobaccia|o__Desulfobaccales|f__Desulfobaccaceae	2|200940|3031647|3031655|3031656	0.0020993363128638948	0.0004955594101911799	16776
