sample	coverage	taxonomy	relabund_pct
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.1	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales	5.18135
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	5.73	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales	26.9901
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.28	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales	1.31889
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.28	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales	1.31889
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	2.98	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales	14.0367
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.85	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales	4.00377
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales	4.28639
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales	2.11964
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.08	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales	5.08714
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales	1.08337
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales	1.08337
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.17	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Palsa-1439	0.800754
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.45	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales	2.11964
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.28	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Limisphaerales	1.31889
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.28	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales	1.31889
