NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN Location,SampleID
ERU_16GOWN_ARCH-BE010-GW985_20181025_S1_Av6,ERU_GW985_BE010_S1_Av6_20181025,S1_Av6,20181025,ARCH,16GOWN,BE010,ERU,GW985,Cochrane,
ERU_16GOWN_BACT-BE011-GW986_20180709_S23,ERU_GW986_BE011_S23_20180709,S23,20180709,BACT,16GOWN,BE011,ERU,GW986,Boggy_Lake_3006_Cochrane_replicate,
ERU_16GOWN_ARCH-BE011-GW986_20181025_S23_Av6,ERU_GW986_BE011_S23_Av6_20181025,S23_Av6,20181025,ARCH,16GOWN,BE011,ERU,GW986,Boggy_Lake_3006_Cochrane_replicate,
ERU_16GOWN_BACT-BE012-GW986_20180709_S4,ERU_GW986_BE012_S4_20180709,S4,20180709,BACT,16GOWN,BE012,ERU,GW986,Rollag_Ranch_500_Cochrane_replicate,
ERU_16GOWN_ARCH-BE012-GW986_20181025_S4_Av6,ERU_GW986_BE012_S4_Av6_20181025,S4_Av6,20181025,ARCH,16GOWN,BE012,ERU,GW986,Rollag_Ranch_500_Cochrane_replicate,
ERU_16GOWN_BACT-BE013-GW986_20180709_S54,ERU_GW986_BE013_S54_20180709,S54,20180709,BACT,16GOWN,BE013,ERU,GW986,Cochrane,
ERU_16GOWN_ARCH-BE013-GW986_20181025_S54_Av6,ERU_GW986_BE013_S54_Av6_20181025,S54_Av6,20181025,ARCH,16GOWN,BE013,ERU,GW986,Cochrane,
ERU_16GOWN_BACT-BE014-GW3026_20180709_S45,ERU_GW3026_BE014_S45_20180709,S45,20180709,BACT,16GOWN,BE014,ERU,GW3026,Rockyford,
ERU_16GOWN_ARCH-BE014-GW3026_20181025_S45_Av6,ERU_GW3026_BE014_S45_Av6_20181025,S45_Av6,20181025,ARCH,16GOWN,BE014,ERU,GW3026,Rockyford,
ERU_16GOWN_BACT-BE015-GW128_20180709_S24,ERU_GW128_BE015_S24_20180709,S24,20180709,BACT,16GOWN,BE015,ERU,GW128,Elnora,
ERU_16GOWN_BACT-BE015-GW128_20180709_S156,ERU_GW128_BE015_S156_20180709,S156,20180709,BACT,16GOWN,BE015,ERU,GW128,Elnora,
ERU_16GOWN_ARCH-BE015-GW128_20181025_S24_Av6,ERU_GW128_BE015_S24_Av6_20181025,S24_Av6,20181025,ARCH,16GOWN,BE015,ERU,GW128,Elnora,
ERU_16GOWN_ARCH-BE015-GW128_20181025_S156_Av6,ERU_GW128_BE015_S156_Av6_20181025,S156_Av6,20181025,ARCH,16GOWN,BE015,ERU,GW128,Elnora,
ERU_16GOWN_BACT-BE016-GW951_20180709_S7,ERU_GW951_BE016_S7_20180709,S7,20180709,BACT,16GOWN,BE016,ERU,GW951,Redlands,
ERU_16GOWN_BACT-BE016-GW951_20180709_S155,ERU_GW951_BE016_S155_20180709,S155,20180709,BACT,16GOWN,BE016,ERU,GW951,Redlands,
ERU_16GOWN_ARCH-BE016-GW951_20181025_S7_Av6,ERU_GW951_BE016_S7_Av6_20181025,S7_Av6,20181025,ARCH,16GOWN,BE016,ERU,GW951,Redlands,
ERU_16GOWN_ARCH-BE016-GW951_20181025_S155_Av6,ERU_GW951_BE016_S155_Av6_20181025,S155_Av6,20181025,ARCH,16GOWN,BE016,ERU,GW951,Redlands,
ERU_16GOWN_BACT-BE017-GW239_20180709_S57,ERU_GW239_BE017_S57_20180709,S57,20180709,BACT,16GOWN,BE017,ERU,GW239,Dewberry,
ERU_16GOWN_ARCH-BE017-GW239_20181025_S57_Av6,ERU_GW239_BE017_S57_Av6_20181025,S57_Av6,20181025,ARCH,16GOWN,BE017,ERU,GW239,Dewberry,
ERU_16GOWN_BACT-BE018-GW239_20180709_S66,ERU_GW239_BE018_S66_20180709,S66,20180709,BACT,16GOWN,BE018,ERU,GW239,Marwayne_1975_Dewberry_replicate,
ERU_16GOWN_ARCH-BE018-GW239_20181025_S66_Av6,ERU_GW239_BE018_S66_Av6_20181025,S66_Av6,20181025,ARCH,16GOWN,BE018,ERU,GW239,Marwayne_1975_Dewberry_replicate,
ERU_16GOWN_BACT-BE019-GW239_20180709_S80,ERU_GW239_BE019_S80_20180709,S80,20180709,BACT,16GOWN,BE019,ERU,GW239,Islay_1968_Dewberry_replicate,
ERU_16GOWN_ARCH-BE019-GW239_20181025_S80_Av6,ERU_GW239_BE019_S80_Av6_20181025,S80_Av6,20181025,ARCH,16GOWN,BE019,ERU,GW239,Islay_1968_Dewberry_replicate,
ERU_16GOWN_BACT-BE020-GW155_20180709_S41,ERU_GW155_BE020_S41_20180709,S41,20180709,BACT,16GOWN,BE020,ERU,GW155,Lloydminster,
ERU_16GOWN_ARCH-BE020-GW155_20181025_S41_Av6,ERU_GW155_BE020_S41_Av6_20181025,S41_Av6,20181025,ARCH,16GOWN,BE020,ERU,GW155,Lloydminster,
ERU_16GOWN_BACT-BE021-GW3104_20180709_S33,ERU_GW3104_BE021_S33_20180709,S33,20180709,BACT,16GOWN,BE021,ERU,GW3104,Hamilin,
ERU_16GOWN_ARCH-BE021-GW3104_20181025_S33_Av6,ERU_GW3104_BE021_S33_Av6_20181025,S33_Av6,20181025,ARCH,16GOWN,BE021,ERU,GW3104,Hamilin,
ERU_16GOWN_BACT-BE022-GW3104_20180709_S9,ERU_GW3104_BE022_S9_20180709,S9,20180709,BACT,16GOWN,BE022,ERU,GW3104,Hamilin,
ERU_16GOWN_ARCH-BE022-GW3104_20181025_S9_Av6,ERU_GW3104_BE022_S9_Av6_20181025,S9_Av6,20181025,ARCH,16GOWN,BE022,ERU,GW3104,Hamilin,
ERU_16GOWN_BACT-BE023-GW150_20180709_S67,ERU_GW150_BE023_S67_20180709,S67,20180709,BACT,16GOWN,BE023,ERU,GW150,Wetaskiwin,
ERU_16GOWN_ARCH-BE023-GW150_20181025_S67_Av6,ERU_GW150_BE023_S67_Av6_20181025,S67_Av6,20181025,ARCH,16GOWN,BE023,ERU,GW150,Wetaskiwin,
ERU_16GOWN_BACT-BE024-GW150_20180709_S92,ERU_GW150_BE024_S92_20180709,S92,20180709,BACT,16GOWN,BE024,ERU,GW150,Wetaskiwin,
ERU_16GOWN_ARCH-BE024-GW150_20181025_S92_Av6,ERU_GW150_BE024_S92_Av6_20181025,S92_Av6,20181025,ARCH,16GOWN,BE024,ERU,GW150,Wetaskiwin,
ERU_16GOWN_BACT-BE025-GW333_20180709_S81,ERU_GW333_BE025_S81_20180709,S81,20180709,BACT,16GOWN,BE025,ERU,GW333,Barrhead,
ERU_16GOWN_BACT-BE025-GW333_20180709_S158,ERU_GW333_BE025_S158_20180709,S158,20180709,BACT,16GOWN,BE025,ERU,GW333,Barrhead,
ERU_16GOWN_ARCH-BE025-GW333_20181025_S81_Av6,ERU_GW333_BE025_S81_Av6_20181025,S81_Av6,20181025,ARCH,16GOWN,BE025,ERU,GW333,Barrhead,
ERU_16GOWN_ARCH-BE025-GW333_20181025_S158_Av6,ERU_GW333_BE025_S158_Av6_20181025,S158_Av6,20181025,ARCH,16GOWN,BE025,ERU,GW333,Barrhead,
ERU_16GOWN_ARCH-BE025-GW333_20181025_S81_Av4,ERU_GW333_BE025_S81_Av4_20181025,S81_Av4,20181025,ARCH,16GOWN,BE025,ERU,GW333,Barrhead,
