NewName,OldName,OldSeqNumber,Seq Date,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
GLC_25GOWN_ARCH-G56-GW333_20260515_S218_R1_001.fastq.gz,GLC_25GOWN_ARCH-G56-GW333_20260515_S218_L001_R1_001.fastq.gz,S218,20260515,ARCH,25GOWN,G56,GLC,GW333,BARRHEAD,25GWE00107
GLC_25GOWN_ARCH-G59-GW278_20260515_S219_R1_001.fastq.gz,GLC_25GOWN_ARCH-G59-GW278_20260515_S219_L001_R1_001.fastq.gz,S219,20260515,ARCH,25GOWN,G59,GLC,GW278,Enchant,25GWC00096
GLC_25GOWN_ARCH-G60-GW312_20260515_S220_R1_001.fastq.gz,GLC_25GOWN_ARCH-G60-GW312_20260515_S220_L001_R1_001.fastq.gz,S220,20260515,ARCH,25GOWN,G60,GLC,GW312,Warburg 2180E,25GWE00091
GLC_25GOWN_ARCH-G62-GW107_20260515_S221_R1_001.fastq.gz,GLC_25GOWN_ARCH-G62-GW107_20260515_S221_L001_R1_001.fastq.gz,S221,20260515,ARCH,25GOWN,G62,GLC,GW107,Cypress Hills,25GWC00702
GLC_25GOWN_ARCH-G63-GW310_20260515_S222_R1_001.fastq.gz,GLC_25GOWN_ARCH-G63-GW310_20260515_S222_L001_R1_001.fastq.gz,S222,20260515,ARCH,25GOWN,G63,GLC,GW310,Warburg,25GWE00085
GLC_25GOWN_ARCH-G64-GW314_20260515_S223_R1_001.fastq.gz,GLC_25GOWN_ARCH-G64-GW314_20260515_S223_L001_R1_001.fastq.gz,S223,20260515,ARCH,25GOWN,G64,GLC,GW314,Warburg 2190E,25GWE00097
GLC_25GOWN_ARCH-G65-GW381_20260515_S224_R1_001.fastq.gz,GLC_25GOWN_ARCH-G65-GW381_20260515_S224_L001_R1_001.fastq.gz,S224,20260515,ARCH,25GOWN,G65,GLC,GW381,Meander River 87-2,25GWG00024
GLC_25GOWN_ARCH-G67-GW387_20260515_S225_R1_001.fastq.gz,GLC_25GOWN_ARCH-G67-GW387_20260515_S225_L001_R1_001.fastq.gz,S225,20260515,ARCH,25GOWN,G67,GLC,GW387,Zama North North,25GWG00027
GLC_25GOWN_ARCH-G68-GW289_20260515_S226_R1_001.fastq.gz,GLC_25GOWN_ARCH-G68-GW289_20260515_S226_L001_R1_001.fastq.gz,S226,20260515,ARCH,25GOWN,G68,GLC,GW289,Zama North South 87-4,25GWG07030
GLC_25GOWN_ARCH-G70-GW113_20260515_S227_R1_001.fastq.gz,GLC_25GOWN_ARCH-G70-GW113_20260515_S227_L001_R1_001.fastq.gz,S227,20260515,ARCH,25GOWN,G70,GLC,GW113,Keho Lake,25GWC00116
GLC_25GOWN_ARCH-G72-GW3010_20260515_S228_R1_001.fastq.gz,GLC_25GOWN_ARCH-G72-GW3010_20260515_S228_L001_R1_001.fastq.gz,S228,20260515,ARCH,25GOWN,G72,GLC,GW3010,Carmangay Waste,25GWC00113
GLC_25GOWN_ARCH-G73-GWCTL_20260515_S229_R1_001.fastq.gz,GLC_25GOWN_ARCH-G73-GWCTL_20260515_S229_L001_R1_001.fastq.gz,S229,20260515,ARCH,25GOWN,G73,GLC,GWCTL,0,25GWNEGCTL
GLC_25GOWN_BACT-G49-GW764_20260515_S252_R1_001.fastq.gz,GLC_25GOWN_BACT-G49-GW764_20260515_S252_L001_R1_001.fastq.gz,S252,20260515,BACT,25GOWN,G49,GLC,GW764,Hanie Heights,25GWC00076
GLC_25GOWN_BACT-G50-GW386_20260515_S253_R1_001.fastq.gz,GLC_25GOWN_BACT-G50-GW386_20260515_S253_L001_R1_001.fastq.gz,S253,20260515,BACT,25GOWN,G50,GLC,GW386,Marmot Creek Basin,25GW
GLC_25GOWN_BACT-G51-GW301_20260515_S254_R1_001.fastq.gz,GLC_25GOWN_BACT-G51-GW301_20260515_S254_L001_R1_001.fastq.gz,S254,20260515,BACT,25GOWN,G51,GLC,GW301,Marmot Creek Basin,25GWC00073
GLC_25GOWN_BACT-G52-GW117_20260515_S255_R1_001.fastq.gz,GLC_25GOWN_BACT-G52-GW117_20260515_S255_L001_R1_001.fastq.gz,S255,20260515,BACT,25GOWN,G52,GLC,GW117,Barons,25GWC00082
GLC_25GOWN_BACT-G53-GW144_20260515_S256_R1_001.fastq.gz,GLC_25GOWN_BACT-G53-GW144_20260515_S256_L001_R1_001.fastq.gz,S256,20260515,BACT,25GOWN,G53,GLC,GW144,Ponoka,25GWC00092
GLC_25GOWN_BACT-G54-GW759_20260515_S257_R1_001.fastq.gz,GLC_25GOWN_BACT-G54-GW759_20260515_S257_L001_R1_001.fastq.gz,S257,20260515,BACT,25GOWN,G54,GLC,GW759,Exshaw,25GWC00140
GLC_25GOWN_BACT-G55-GW3104_20260515_S232_R1_001.fastq.gz,GLC_25GOWN_BACT-G55-GW3104_20260515_S232_L001_R1_001.fastq.gz,S232,20260515,BACT,25GOWN,G55,GLC,GW3104,Hamilin NW,25GWE00119
GLC_25GOWN_BACT-G56-GW333_20260515_S258_R1_001.fastq.gz,GLC_25GOWN_BACT-G56-GW333_20260515_S258_L001_R1_001.fastq.gz,S258,20260515,BACT,25GOWN,G56,GLC,GW333,BARRHEAD,25GWE00107
GLC_25GOWN_BACT-G59-GW278_20260515_S259_R1_001.fastq.gz,GLC_25GOWN_BACT-G59-GW278_20260515_S259_L001_R1_001.fastq.gz,S259,20260515,BACT,25GOWN,G59,GLC,GW278,Enchant,25GWC00096
GLC_25GOWN_BACT-G60-GW312_20260515_S260_R1_001.fastq.gz,GLC_25GOWN_BACT-G60-GW312_20260515_S260_L001_R1_001.fastq.gz,S260,20260515,BACT,25GOWN,G60,GLC,GW312,Warburg 2180E,25GWE00091
GLC_25GOWN_BACT-G62-GW107_20260515_S261_R1_001.fastq.gz,GLC_25GOWN_BACT-G62-GW107_20260515_S261_L001_R1_001.fastq.gz,S261,20260515,BACT,25GOWN,G62,GLC,GW107,Cypress Hills,25GWC00702
GLC_25GOWN_BACT-G63-GW310_20260515_S262_R1_001.fastq.gz,GLC_25GOWN_BACT-G63-GW310_20260515_S262_L001_R1_001.fastq.gz,S262,20260515,BACT,25GOWN,G63,GLC,GW310,Warburg,25GWE00085
GLC_25GOWN_BACT-G64-GW314_20260515_S263_R1_001.fastq.gz,GLC_25GOWN_BACT-G64-GW314_20260515_S263_L001_R1_001.fastq.gz,S263,20260515,BACT,25GOWN,G64,GLC,GW314,Warburg 2190E,25GWE00097
GLC_25GOWN_BACT-G65-GW381_20260515_S264_R1_001.fastq.gz,GLC_25GOWN_BACT-G65-GW381_20260515_S264_L001_R1_001.fastq.gz,S264,20260515,BACT,25GOWN,G65,GLC,GW381,Meander River 87-2,25GWG00024
GLC_25GOWN_BACT-G67-GW387_20260515_S265_R1_001.fastq.gz,GLC_25GOWN_BACT-G67-GW387_20260515_S265_L001_R1_001.fastq.gz,S265,20260515,BACT,25GOWN,G67,GLC,GW387,Zama North North,25GWG00027
GLC_25GOWN_BACT-G68-GW289_20260515_S266_R1_001.fastq.gz,GLC_25GOWN_BACT-G68-GW289_20260515_S266_L001_R1_001.fastq.gz,S266,20260515,BACT,25GOWN,G68,GLC,GW289,Zama North South 87-4,25GWG07030
GLC_25GOWN_BACT-G70-GW113_20260515_S267_R1_001.fastq.gz,GLC_25GOWN_BACT-G70-GW113_20260515_S267_L001_R1_001.fastq.gz,S267,20260515,BACT,25GOWN,G70,GLC,GW113,Keho Lake,25GWC00116
GLC_25GOWN_BACT-G72-GW3010_20260515_S268_R1_001.fastq.gz,GLC_25GOWN_BACT-G72-GW3010_20260515_S268_L001_R1_001.fastq.gz,S268,20260515,BACT,25GOWN,G72,GLC,GW3010,Carmangay Waste,25GWC00113
GLC_25GOWN_BACT-G73-GWCTL_20260515_S231_R1_001.fastq.gz,GLC_25GOWN_BACT-G73-GWCTL_20260515_S231_L001_R1_001.fastq.gz,S231,20260515,BACT,25GOWN,G73,GLC,GWCTL,0,25GWNEGCTL
