NewName,OldName,OldSeqNumber,SeqDate,GenomeCode,Primer,Year,User,GOWNWell,GOWN Location,Sample ID
ERU_17GOWN_ARCH-BE122-GW986_20181025_S142_Av6,ERU_GW986_BE122_S142_Av6_20181025,S142_Av6,20181025,BE122,ARCH,17GOWN,ERU,GW986,Cochrane_D,
ERU_17GOWN_BACT-BE123-GW986_20180709_S148,ERU_GW986_BE123_S148_20180709,S148,20180709,BE123,BACT,17GOWN,ERU,GW986,Cowboy_Trail_22_Cochrane_Deep_replicate,
ERU_17GOWN_ARCH-BE123-GW986_20181025_S148_Av6,ERU_GW986_BE123_S148_Av6_20181025,S148_Av6,20181025,BE123,ARCH,17GOWN,ERU,GW986,Cowboy_Trail_22_Cochrane_Deep_replicate,
ERU_17GOWN_BACT-BE124-GW137_20180709_S96,ERU_GW137_BE124_S96_20180709,S96,20180709,BE124,BACT,17GOWN,ERU,GW137,Stettler_North,
ERU_17GOWN_ARCH-BE124-GW137_20181025_S96_Av6,ERU_GW137_BE124_S96_Av6_20181025,S96_Av6,20181025,BE124,ARCH,17GOWN,ERU,GW137,Stettler_North,
ERU_17GOWN_BACT-BE125-GW135_20180709_S128,ERU_GW135_BE125_S128_20180709,S128,20180709,BE125,BACT,17GOWN,ERU,GW135,Stettler_South,
ERU_17GOWN_ARCH-BE125-GW135_20181025_S128_Av6,ERU_GW135_BE125_S128_Av6_20181025,S128_Av6,20181025,BE125,ARCH,17GOWN,ERU,GW135,Stettler_South,
ERU_17GOWN_ARCH-BE125-GW135_20181025_S128_Av4,ERU_GW135_BE125_S128_Av4_20181025,S128_Av4,20181025,BE125,ARCH,17GOWN,ERU,GW135,Stettler_South,
ERU_17GOWN_BACT-BE126-GW259_20180709_S25,ERU_GW259_BE126_S25_20180709,S25,20180709,BE126,BACT,17GOWN,ERU,GW259,Three_Hills,
ERU_17GOWN_ARCH-BE126-GW259_20181025_S25_Av6,ERU_GW259_BE126_S25_Av6_20181025,S25_Av6,20181025,BE126,ARCH,17GOWN,ERU,GW259,Three_Hills,
ERU_17GOWN_BACT-BE127-GW398_20180709_S93,ERU_GW398_BE127_S93_20180709,S93,20180709,BE127,BACT,17GOWN,ERU,GW398,Pine_Lake,
ERU_17GOWN_ARCH-BE127-GW398_20181025_S93_Av6,ERU_GW398_BE127_S93_Av6_20181025,S93_Av6,20181025,BE127,ARCH,17GOWN,ERU,GW398,Pine_Lake,
ERU_17GOWN_ARCH-BE127-GW398_20181025_S93_Av4,ERU_GW398_BE127_S93_Av4_20181025,S93_Av4,20181025,BE127,ARCH,17GOWN,ERU,GW398,Pine_Lake,
ERU_17GOWN_BACT-BE128-GW980_20180709_S99,ERU_GW980_BE128_S99_20180709,S99,20180709,BE128,BACT,17GOWN,ERU,GW980,Rocky_Mt._House,
ERU_17GOWN_ARCH-BE128-GW980_20181025_S99_Av6,ERU_GW980_BE128_S99_Av6_20181025,S99_Av6,20181025,BE128,ARCH,17GOWN,ERU,GW980,Rocky_Mt._House,
ERU_17GOWN_BACT-BE129-GW982_20180709_S135,ERU_GW982_BE129_S135_20180709,S135,20180709,BE129,BACT,17GOWN,ERU,GW982,Leedale_Deep,
ERU_17GOWN_ARCH-BE129-GW982_20181025_S135_Av6,ERU_GW982_BE129_S135_Av6_20181025,S135_Av6,20181025,BE129,ARCH,17GOWN,ERU,GW982,Leedale_Deep,
ERU_17GOWN_ARCH-BE129-GW982_20181025_S135_Av4,ERU_GW982_BE129_S135_Av4_20181025,S135_Av4,20181025,BE129,ARCH,17GOWN,ERU,GW982,Leedale_Deep,
ERU_17GOWN_BACT-BE130-GW3002_20180709_S32,ERU_GW3002_BE130_S32_20180709,S32,20180709,BE130,BACT,17GOWN,ERU,GW3002,Leedale_Shallow,
ERU_17GOWN_ARCH-BE130-GW3002_20181025_S32_Av6,ERU_GW3002_BE130_S32_Av6_20181025,S32_Av6,20181025,BE130,ARCH,17GOWN,ERU,GW3002,Leedale_Shallow,
ERU_17GOWN_BACT-BE131-GW140_20180709_S70,ERU_GW140_BE131_S70_20180709,S70,20180709,BE131,BACT,17GOWN,ERU,GW140,Wainwright,
ERU_17GOWN_ARCH-BE131-GW140_20181025_S70_Av6,ERU_GW140_BE131_S70_Av6_20181025,S70_Av6,20181025,BE131,ARCH,17GOWN,ERU,GW140,Wainwright,
ERU_17GOWN_BACT-BE132-GW265_20180709_S134,ERU_GW265_BE132_S134_20180709,S134,20180709,BE132,BACT,17GOWN,ERU,GW265,Metiskow,
ERU_17GOWN_ARCH-BE132-GW265_20181025_S134_Av6,ERU_GW265_BE132_S134_Av6_20181025,S134_Av6,20181025,BE132,ARCH,17GOWN,ERU,GW265,Metiskow,
ERU_17GOWN_ARCH-BE132-GW265_20181025_S134_Av4,ERU_GW265_BE132_S134_Av4_20181025,S134_Av4,20181025,BE132,ARCH,17GOWN,ERU,GW265,Metiskow,
ERU_17GOWN_BACT-BE133-GW266_20180709_S127,ERU_GW266_BE133_S127_20180709,S127,20180709,BE133,BACT,17GOWN,ERU,GW266,Metiskow,
ERU_17GOWN_ARCH-BE133-GW266_20181025_S127_Av6,ERU_GW266_BE133_S127_Av6_20181025,S127_Av6,20181025,BE133,ARCH,17GOWN,ERU,GW266,Metiskow,
ERU_17GOWN_BACT-BE134-GW267_20180709_S68,ERU_GW267_BE134_S68_20180709,S68,20180709,BE134,BACT,17GOWN,ERU,GW267,Metiskow,
ERU_17GOWN_ARCH-BE134-GW267_20181025_S68_Av6,ERU_GW267_BE134_S68_Av6_20181025,S68_Av6,20181025,BE134,ARCH,17GOWN,ERU,GW267,Metiskow,
ERU_17GOWN_BACT-BE135-GW274_20180709_S104,ERU_GW274_BE135_S104_20180709,S104,20180709,BE135,BACT,17GOWN,ERU,GW274,Sounding_Creek,
ERU_17GOWN_ARCH-BE135-GW274_20181025_S104_Av6,ERU_GW274_BE135_S104_Av6_20181025,S104_Av6,20181025,BE135,ARCH,17GOWN,ERU,GW274,Sounding_Creek,
ERU_17GOWN_BACT-BE136-GW273_20180709_S84,ERU_GW273_BE136_S84_20180709,S84,20180709,BE136,BACT,17GOWN,ERU,GW273,Sounding_Creek,
ERU_17GOWN_ARCH-BE136-GW273_20181025_S84_Av6,ERU_GW273_BE136_S84_Av6_20181025,S84_Av6,20181025,BE136,ARCH,17GOWN,ERU,GW273,Sounding_Creek,
ERU_17GOWN_BACT-BE137-GW275_20180709_S88,ERU_GW275_BE137_S88_20180709,S88,20180709,BE137,BACT,17GOWN,ERU,GW275,Sounding_Creek,
