NewName,OldName,OldSeqNumber,Seq Date,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
GLC_25GOWN_ARCH-G38-GW481_20251031_S152_R1_001.fastq.gz,GLC_25GOWN_ARCH-G38-GW481_20251031_S152_R1_001.fastq.gz,S152,20251031,ARCH,25GOWN,G38,GLC,GW481,,
GLC_25GOWN_BACT-G38-GW481_20251031_S200_R1_001.fastq.gz,GLC_25GOWN_BACT-G38-GW481_20251031_S200_R1_001.fastq.gz,S200,20251031,BACT,25GOWN,G38,GLC,GW481,,
GLC_25GOWN_ARCH-G18-GW626_20251031_S132_R1_001.fastq.gz,GLC_25GOWN_ARCH-G18-GW626_20251031_S132_R1_001.fastq.gz,S132,20251031,ARCH,25GOWN,G18,GLC,GW626,,
GLC_25GOWN_BACT-G18-GW626_20251031_S180_R1_001.fastq.gz,GLC_25GOWN_BACT-G18-GW626_20251031_S180_R1_001.fastq.gz,S180,20251031,BACT,25GOWN,G18,GLC,GW626,,
GLC_25GOWN_ARCH-G17-GW628_20251031_S131_R1_001.fastq.gz,GLC_25GOWN_ARCH-G17-GW628_20251031_S131_R1_001.fastq.gz,S131,20251031,ARCH,25GOWN,G17,GLC,GW628,,
GLC_25GOWN_BACT-G17-GW628_20251031_S179_R1_001.fastq.gz,GLC_25GOWN_BACT-G17-GW628_20251031_S179_R1_001.fastq.gz,S179,20251031,BACT,25GOWN,G17,GLC,GW628,,
GLC_25GOWN_ARCH-G46-GW760_20251031_S160_R1_001.fastq.gz,GLC_25GOWN_ARCH-G46-GW760_20251031_S160_R1_001.fastq.gz,S160,20251031,ARCH,25GOWN,G46,GLC,GW760,,
GLC_25GOWN_BACT-G46-GW760_20251031_S208_R1_001.fastq.gz,GLC_25GOWN_BACT-G46-GW760_20251031_S208_R1_001.fastq.gz,S208,20251031,BACT,25GOWN,G46,GLC,GW760,,
GLC_25GOWN_ARCH-G39-GW931_20251031_S153_R1_001.fastq.gz,GLC_25GOWN_ARCH-G39-GW931_20251031_S153_R1_001.fastq.gz,S153,20251031,ARCH,25GOWN,G39,GLC,GW931,,
GLC_25GOWN_BACT-G39-GW931_20251031_S201_R1_001.fastq.gz,GLC_25GOWN_BACT-G39-GW931_20251031_S201_R1_001.fastq.gz,S201,20251031,BACT,25GOWN,G39,GLC,GW931,,
GLC_25GOWN_ARCH-G44-NC_20251031_S158_R1_001.fastq.gz,GLC_25GOWN_ARCH-G44-NC_20251031_S158_R1_001.fastq.gz,S158,20251031,ARCH,25GOWN,G44,GLC,NC,,
GLC_25GOWN_BACT-G44-NC_20251031_S206_R1_001.fastq.gz,GLC_25GOWN_BACT-G44-NC_20251031_S206_R1_001.fastq.gz,S206,20251031,BACT,25GOWN,G44,GLC,NC,,
GLC_25GOWN_ARCH-G45-NC_20251031_S159_R1_001.fastq.gz,GLC_25GOWN_ARCH-G45-NC_20251031_S159_R1_001.fastq.gz,S159,20251031,ARCH,25GOWN,G45,GLC,NC,,
GLC_25GOWN_BACT-G45-NC_20251031_S207_R1_001.fastq.gz,GLC_25GOWN_BACT-G45-NC_20251031_S207_R1_001.fastq.gz,S207,20251031,BACT,25GOWN,G45,GLC,NC,,
