"","OTUs","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C3","C4","C5","C6","C7","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E3","E4","E5","E6","E7","E8","E9"
"43","bOTU_5480","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__UBA1406","f__HO2-37-13b","g__JANWIV01","s__JANWIV01 sp025449735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","bOTU_5481","d__Bacteria","p__Patescibacteria","c__WWE3","o__UBA101185","f__UBA10185","g__UBA8498","g__UBA8498",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","bOTU_5482","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","bOTU_5483","d__Bacteria","p__Patescibacteria","c__WWE3","o__UBA101185","f__UBA10185","g__JACKGU01","s__JACKGU01 sp020631855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","bOTU_5484","d__Bacteria","p__Patescibacteria","c__WWE3","o__UBA101185","f__UBA10185","g__JACPGI01","s__JACPGI01 sp016182565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","bOTU_5485","d__Bacteria","p__Patescibacteria","c__WWE3","o__UBA101185","f__UBA10185","g__JAGPFW01","s__JAGPFW01 sp018056275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","bOTU_5486","d__Bacteria","p__Patescibacteria","c__Dojkabacteria","o__SC72","f__SC72","g__UBA12078","s__UBA12078 sp903906305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
"50","bOTU_5487","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","bOTU_5488","d__Bacteria","p__Patescibacteria","c__Dojkabacteria","o__SC72","f__SC72","g__JAKPKF01","s__JAKPKF01 sp028704525",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","bOTU_5489","d__Bacteria","p__Patescibacteria","c__Dojkabacteria","o__SC72","f__T1SED10-24","g__T1SED10-24","s__T1SED10-24 sp003554185",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","bOTU_5490","d__Bacteria","p__Armatimonadota","c__UBA5829","c__UBA5829","c__UBA5829","c__UBA5829","c__UBA5829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","bOTU_5491","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria","d__Bacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","bOTU_5492","d__Bacteria","p__Patescibacteria","c__Dojkabacteria","o__SC72","f__SC72","f__SC72","f__SC72",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","bOTU_5493","d__Bacteria","p__Patescibacteria","c__WWE3","o__UBA101185","f__2-01-FULL-41-18","g__2-01-FULL-41-18","s__2-01-FULL-41-18 sp001772615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","bOTU_5494","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","bOTU_5495","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","s__C7867-001 sp001781915",0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","bOTU_5496","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","s__C7867-001 sp001781915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","bOTU_5497","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","g__C7867-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","bOTU_5498","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","g__C7867-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","bOTU_5499","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","g__C7867-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"63","bOTU_5500","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","s__C7867-001 sp001781915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","bOTU_5501","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","s__C7867-001 sp001781915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","bOTU_5502","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","s__C7867-001 sp001781915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","bOTU_5503","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9973","f__UBA2103","g__C7867-001","s__C7867-001 sp001781915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","bOTU_5504","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__2-02-FULL-40-12","f__GWA2-44-9","g__2-01-FULL-44-22","s__2-01-FULL-44-22 sp001795975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","bOTU_5505","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__2-02-FULL-40-12","f__GWA2-44-9","f__GWA2-44-9","f__GWA2-44-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","bOTU_5506","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__2-02-FULL-40-12","f__GWA2-44-9","f__GWA2-44-9","f__GWA2-44-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","bOTU_5507","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__2-02-FULL-40-12","f__GWA2-44-9","g__2-01-FULL-44-22","s__2-01-FULL-44-22 sp001795975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"71","bOTU_5508","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__2-02-FULL-40-12","f__GWA2-44-9","f__GWA2-44-9","f__GWA2-44-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","bOTU_5509","d__Bacteria","p__Chloroflexota","c__Dehalococcoidia","o__Dehalococcoidales","f__Fen-1064","g__JAQTOJ01","s__JAQTOJ01 sp028713395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","bOTU_5510","d__Bacteria","p__Chloroflexota","c__Dehalococcoidia","o__Dehalococcoidales","f__Fen-1064","g__JAURWL01","s__JAURWL01 sp030691775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","bOTU_5511","d__Bacteria","p__Chloroflexota","c__Dehalococcoidia","o__Dehalococcoidales","f__Fen-1064","g__JAURWL01","s__JAURWL01 sp030691775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","bOTU_5512","d__Bacteria","p__Chloroflexota","c__Dehalococcoidia","o__Dehalococcoidales","f__Fen-1064","g__JAURWL01","s__JAURWL01 sp030691775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
