"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"409","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__GGB7913|s__GGB7913_SGB11785",NA,NA,NA,NA,NA,NA,0,0,0,0,57105,0,0,49443,0,0,0,0,46889,0,49668,0,0,0,0,0,"bOTU_409"
"410","k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB14257|s__GGB14257_SGB21740",NA,NA,NA,NA,NA,NA,0,0,0,7410,0,0,0,0,0,0,0,0,4350,28622,0,0,249815,0,20583,0,"bOTU_410"
"411","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_Leaf344",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,6411,0,0,0,0,0,0,0,"bOTU_411"
"412","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_denitrificans",NA,NA,NA,NA,NA,NA,0,0,94653,0,0,0,0,0,0,0,0,0,22547,0,0,0,13792,0,0,0,"bOTU_412"
"413","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Alkalicoccus|s__Alkalicoccus_luteus",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3289,0,0,0,0,0,0,0,"bOTU_413"
"414","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__GGB59165|s__GGB59165_SGB80923|t__SGB80923",NA,NA,NA,NA,NA,NA,0,0,0,15415,0,0,8520,0,0,0,0,0,5109339,0,0,0,0,0,424080,0,"bOTU_414"
"415","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Candidatus_Nitrotoga|s__Candidatus_Nitrotoga_SGB24819|t__SGB24819",NA,NA,NA,NA,NA,NA,0,0,1660255,58434,5010807,0,12953432,0,0,0,0,0,3900903,0,0,0,28213,0,8390547,0,"bOTU_415"
"416","k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__GGB14036|s__GGB14036_SGB21464|t__SGB21464",NA,NA,NA,NA,NA,NA,0,0,0,16510,0,0,41557,0,0,11044,0,0,1538253,566195,0,0,0,0,0,0,"bOTU_416"
"417","k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB35087|s__GGB35087_SGB200214|t__SGB200214",NA,NA,NA,NA,NA,NA,0,0,7969,9009,0,22126,51157,568013,8203,967839,0,0,720068,1396722,0,8760,8876,133674,3379682,18753,"aOTU_417"
"418","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__GGB109724|s__GGB109724_SGB197703|t__SGB197703",NA,NA,NA,NA,NA,NA,0,0,0,13779,0,0,111118,0,0,28721,0,0,847644,9589,0,0,0,0,0,0,"bOTU_418"
"419","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__GGB16218|s__GGB16218_SGB90015|t__SGB90015",NA,NA,NA,NA,NA,NA,0,0,0,6506,0,0,69306,0,0,135461,0,0,503251,0,12112,0,0,0,0,0,"bOTU_419"
"420","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae|g__Methylocystis|s__Methylocystis_rosea|t__SGB24374_group",NA,NA,NA,NA,NA,NA,0,14475,14378,14391,30668,0,100536,0,0,0,0,0,542672,0,11030,9993,20859,0,0,0,"bOTU_420"
"421","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_RAC05|t__SGB11422",NA,NA,NA,NA,NA,NA,0,0,16530,0,16854,0,131745,0,0,0,0,0,511204,0,76903,0,0,0,0,0,"bOTU_421"
