"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"68","k__Bacteria","p__Candidatus_Omnitrophota","c__CFGB2160","o__OFGB2160","f__FGB2160",0,0,0,0,0,0,0,0,0,4330,0,20337,0,0,0,0,0,0,0,0,"bOTU_68"
"69","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae",0,0,931026,0,76569,0,56050,0,0,0,0,141203,4009,12314,0,201123,81653,0,23280,0,"bOTU_69"
"70","k__Bacteria","p__Candidatus_Roizmanbacteria","c__CFGB93723","o__OFGB93723","f__FGB93723",0,0,0,0,0,0,0,0,0,0,0,6219,0,0,0,0,0,0,0,0,"bOTU_70"
"71","k__Bacteria","p__Nitrospirota","c__CFGB80700","o__OFGB80700","f__FGB80700",0,0,0,0,0,0,0,0,0,0,0,10004,0,0,0,0,0,0,0,0,"bOTU_71"
"72","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodospirillales","f__Azospirillaceae",0,0,258918,84145,834078,0,297910,0,0,0,0,29780,53295,0,13018,0,21290,0,46213,0,"bOTU_72"
"73","k__Bacteria","p__Nitrospirota","c__CFGB11036","o__OFGB11036","f__FGB11036",0,0,0,0,0,0,0,0,0,6346,0,9173,5294,0,0,0,0,0,0,0,"bOTU_73"
"74","k__Bacteria","p__Pseudomonadota","c__CFGB5371","o__OFGB5371","f__FGB5371",0,0,16833,0,0,0,0,0,0,0,0,48017,0,0,0,0,0,0,0,0,"bOTU_74"
"75","k__Bacteria","p__Candidatus_Parcubacteria","c__CFGB3846","o__OFGB3846","f__FGB3846",0,0,0,4238,0,0,0,0,3981,2646,0,3281,0,0,0,0,0,0,0,0,"bOTU_75"
"76","k__Archaea","p__Nitrososphaerota","c__Nitrososphaeria","o__Nitrosopumilales","f__Nitrosopumilaceae",0,0,0,0,0,0,0,0,0,17041,0,18342,0,0,0,0,0,0,0,0,"aOTU_76"
"77","k__Bacteria","p__Candidatus_Methylomirabilota","c__CFGB48803","o__OFGB48803","f__FGB48803",0,0,0,0,0,0,0,0,0,0,0,13176,0,0,0,0,0,0,0,0,"bOTU_77"
"78","k__Bacteria","p__Candidatus_Omnitrophota","c__CFGB10113","o__OFGB10113","f__FGB10113",0,0,0,0,0,0,0,0,11924,21872,0,7547,0,0,0,0,0,0,0,0,"bOTU_78"
"79","k__Bacteria","p__Planctomycetota","c__Candidatus_Brocadiia","o__Candidatus_Brocadiales","f__Candidatus_Brocadiaceae",0,0,0,0,0,0,0,0,0,8773,0,11994,0,0,0,0,0,0,0,0,"bOTU_79"
"80","k__Archaea","p__Methanobacteriota","c__CFGB73116","o__OFGB73116","f__FGB73116",0,0,0,0,0,0,0,0,0,0,0,2997,0,0,0,0,0,0,0,0,"aOTU_80"
