"","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"96","k__Bacteria","p__Candidatus_Roizmanbacteria","c__CFGB93723","o__OFGB93723","f__FGB93723","g__GGB12005",0,0,0,0,0,0,0,0,0,0,0,6219,0,0,0,0,0,0,0,0,"bOTU_96"
"97","k__Bacteria","p__Candidatus_Omnitrophota","c__CFGB2160","o__OFGB2160","f__FGB2160","g__GGB6120",0,0,0,0,0,0,0,0,0,4330,0,12215,0,0,0,0,0,0,0,0,"bOTU_97"
"98","k__Bacteria","p__Nitrospirota","c__CFGB80700","o__OFGB80700","f__FGB80700","g__GGB90363",0,0,0,0,0,0,0,0,0,0,0,10004,0,0,0,0,0,0,0,0,"bOTU_98"
"99","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodospirillales","f__Azospirillaceae","g__GGB40753",0,0,244340,84145,834078,0,297910,0,0,0,0,29780,53295,0,13018,0,21290,0,46213,0,"bOTU_99"
"100","k__Bacteria","p__Nitrospirota","c__CFGB11036","o__OFGB11036","f__FGB11036","g__GGB36525",0,0,0,0,0,0,0,0,0,6346,0,9173,5294,0,0,0,0,0,0,0,"bOTU_100"
"101","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Lysobacteraceae","g__GGB15005",0,0,0,0,0,0,0,0,0,0,0,13834,0,0,0,0,0,0,0,0,"bOTU_101"
"102","k__Bacteria","p__Candidatus_Parcubacteria","c__CFGB3846","o__OFGB3846","f__FGB3846","g__GGB107276",0,0,0,0,0,0,0,0,0,0,0,3281,0,0,0,0,0,0,0,0,"bOTU_102"
"103","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae","g__Afipia",0,0,0,0,0,0,23048,0,0,0,0,118424,91174,0,0,0,0,0,0,0,"bOTU_103"
"104","k__Bacteria","p__Candidatus_Omnitrophota","c__CFGB10113","o__OFGB10113","f__FGB10113","g__GGB6081",0,0,0,0,0,0,0,0,11924,21872,0,7547,0,0,0,0,0,0,0,0,"bOTU_104"
"105","k__Bacteria","p__Candidatus_Methylomirabilota","c__CFGB48803","o__OFGB48803","f__FGB48803","g__GGB90917",0,0,0,0,0,0,0,0,0,0,0,7628,0,0,0,0,0,0,0,0,"bOTU_105"
"106","k__Bacteria","p__Planctomycetota","c__Candidatus_Brocadiia","o__Candidatus_Brocadiales","f__Candidatus_Brocadiaceae","g__GGB36196",0,0,0,0,0,0,0,0,0,8773,0,11994,0,0,0,0,0,0,0,0,"bOTU_106"
"107","k__Bacteria","p__Pseudomonadota","c__CFGB5371","o__OFGB5371","f__FGB5371","g__GGB32486",0,0,0,0,0,0,0,0,0,0,0,15975,0,0,0,0,0,0,0,0,"bOTU_107"
